# Force       
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1              1.038227e+00 -2.938978e-02 -2.431426e-03 9.126961e-01 -2.935393e-02 -2.435308e-03 1.255313e-01 -3.584329e-05 3.882367e-06
2              1.321953e+00 -2.870329e-02 -2.156927e-03 1.199933e+00 -2.878152e-02 -2.169740e-03 1.220198e-01 7.822483e-05 1.281337e-05
3              1.250270e+00 -2.319955e-02 3.183142e-04 1.130936e+00 -2.337220e-02 2.932864e-04 1.193337e-01 1.726470e-04 2.502781e-05
4              9.715899e-01 -1.235894e-02 2.116753e-03 8.544162e-01 -1.260331e-02 2.081869e-03 1.171738e-01 2.443639e-04 3.488437e-05
5              6.218346e-01 1.977750e-04 3.152665e-03 5.063907e-01 -9.529377e-05 3.112692e-03 1.154439e-01 2.930687e-04 3.997278e-05
6              2.995161e-01 1.107265e-02 3.186348e-03 1.854263e-01 1.075252e-02 3.145826e-03 1.140899e-01 3.201327e-04 4.052186e-05
7              6.431201e-02 1.813996e-02 2.251600e-03 -4.870665e-02 1.781328e-02 2.214649e-03 1.130187e-01 3.266864e-04 3.695057e-05
8              -5.305201e-02 2.115074e-02 1.005205e-03 -1.651820e-01 2.083366e-02 9.763652e-04 1.121300e-01 3.170818e-04 2.884011e-05
9              -7.965681e-02 2.121407e-02 -3.934232e-04 -1.909675e-01 2.091351e-02 -4.151035e-04 1.113107e-01 3.005560e-04 2.168030e-05
10             -4.447205e-02 1.910636e-02 -1.332139e-03 -1.549302e-01 1.882101e-02 -1.347398e-03 1.104582e-01 2.853510e-04 1.525916e-05
11             2.430362e-02 1.526125e-02 -1.501217e-03 -8.521167e-02 1.498560e-02 -1.511566e-03 1.095153e-01 2.756496e-04 1.034963e-05
12             1.007277e-01 1.050161e-02 -7.268533e-04 -7.749469e-03 1.022862e-02 -7.349798e-04 1.084772e-01 2.729906e-04 8.126464e-06
