# Moment      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1              -2.339982e-05 1.418116e-03 3.402955e-02 -2.342460e-05 1.429767e-03 3.362122e-02 2.478680e-08 -1.165025e-05 4.083304e-04
2              -1.969834e-05 2.351322e-04 4.924252e-02 -1.972738e-05 2.591695e-04 4.883345e-02 2.904146e-08 -2.403739e-05 4.090705e-04
3              -3.307233e-05 -1.125046e-03 4.960478e-02 -3.295304e-05 -1.088259e-03 4.920340e-02 -1.192910e-07 -3.678747e-05 4.013741e-04
4              -4.821168e-05 -2.056363e-03 4.177883e-02 -4.793230e-05 -2.010661e-03 4.137975e-02 -2.793738e-07 -4.570210e-05 3.990852e-04
5              -5.221380e-05 -2.503419e-03 3.067808e-02 -5.178393e-05 -2.454696e-03 3.027095e-02 -4.298660e-07 -4.872286e-05 4.071245e-04
6              -3.846180e-05 -2.517993e-03 1.993941e-02 -3.788268e-05 -2.470461e-03 1.951438e-02 -5.791231e-07 -4.753189e-05 4.250317e-04
7              -8.524500e-06 -2.179103e-03 1.175339e-02 -7.847036e-06 -2.136751e-03 1.130579e-02 -6.774632e-07 -4.235237e-05 4.475996e-04
8              2.880192e-05 -1.492037e-03 7.075675e-03 2.951582e-05 -1.457431e-03 6.605413e-03 -7.138936e-07 -3.460649e-05 4.702621e-04
9              6.845160e-05 -9.258492e-04 5.336017e-03 6.916323e-05 -8.973445e-04 4.846296e-03 -7.116373e-07 -2.850474e-05 4.897209e-04
10             9.137644e-05 -7.298718e-04 5.664278e-03 9.202231e-05 -7.065504e-04 5.157896e-03 -6.458678e-07 -2.332138e-05 5.063818e-04
11             8.711330e-05 -8.948734e-04 6.952594e-03 8.764596e-05 -8.756854e-04 6.433315e-03 -5.326540e-07 -1.918799e-05 5.192793e-04
12             5.273165e-05 -1.373459e-03 8.361575e-03 5.314468e-05 -1.356357e-03 7.832992e-03 -4.130277e-07 -1.710137e-05 5.285837e-04
13             -4.285348e-06 -2.043251e-03 9.402811e-03 -3.974149e-06 -2.026095e-03 8.866636e-03 -3.111988e-07 -1.715608e-05 5.361748e-04
14             -6.844933e-05 -2.725753e-03 9.914968e-03 -6.821723e-05 -2.706927e-03 9.372051e-03 -2.320981e-07 -1.882598e-05 5.429171e-04
15             -1.220061e-04 -3.249149e-03 9.979692e-03 -1.218288e-04 -3.228172e-03 9.430057e-03 -1.772236e-07 -2.097731e-05 5.496348e-04
16             -1.534560e-04 -3.512791e-03 9.752867e-03 -1.532983e-04 -3.488673e-03 9.196127e-03 -1.577035e-07 -2.411813e-05 5.567406e-04
17             -1.601633e-04 -3.542598e-03 9.414165e-03 -1.600068e-04 -3.515621e-03 8.849609e-03 -1.564892e-07 -2.697707e-05 5.645561e-04
18             -1.414868e-04 -3.370745e-03 9.113567e-03 -1.413195e-04 -3.341839e-03 8.541524e-03 -1.672802e-07 -2.890575e-05 5.720438e-04
19             -1.024756e-04 -3.037313e-03 8.935711e-03 -1.022947e-04 -3.007572e-03 8.357063e-03 -1.808357e-07 -2.974054e-05 5.786484e-04
