# Force       
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1              1.997955e+00 -2.767457e-02 -9.433918e-03 1.909735e+00 -2.767353e-02 -9.418270e-03 8.822022e-02 -1.040595e-06 -1.564805e-05
2              2.480454e+00 -1.890569e-02 -1.220472e-02 2.403646e+00 -1.860064e-02 -1.222558e-02 7.680812e-02 -3.050507e-04 2.086014e-05
3              2.261432e+00 -7.762745e-03 -1.106813e-02 2.193281e+00 -7.291351e-03 -1.112743e-02 6.815112e-02 -4.713938e-04 5.929881e-05
4              1.680956e+00 3.697160e-03 -7.788558e-03 1.619025e+00 4.187182e-03 -7.874444e-03 6.193057e-02 -4.900222e-04 8.588580e-05
5              9.242239e-01 1.553673e-02 -4.093554e-03 8.662810e-01 1.591011e-02 -4.192817e-03 5.794286e-02 -3.733814e-04 9.926294e-05
6              2.591538e-01 2.820552e-02 -9.515729e-04 2.034247e-01 2.841956e-02 -1.056280e-03 5.572916e-02 -2.140365e-04 1.047072e-04
7              -2.037374e-01 3.923156e-02 1.008017e-03 -2.585205e-01 3.930375e-02 8.994315e-04 5.478310e-02 -7.218526e-05 1.085853e-04
8              -4.305280e-01 4.552016e-02 1.538724e-03 -4.850726e-01 4.549435e-02 1.429776e-03 5.454462e-02 2.580817e-05 1.089484e-04
9              -4.449728e-01 4.570633e-02 1.010292e-03 -4.995092e-01 4.563134e-02 9.080955e-04 5.453641e-02 7.499561e-05 1.021967e-04
10             -3.325207e-01 3.827502e-02 -5.349305e-04 -3.869141e-01 3.819056e-02 -6.269247e-04 5.439342e-02 8.445210e-05 9.199418e-05
11             -1.519607e-01 2.494824e-02 -2.165164e-03 -2.058866e-01 2.487515e-02 -2.244573e-03 5.392586e-02 7.308584e-05 7.940922e-05
12             3.629821e-02 9.744425e-03 -3.112959e-03 -1.682046e-02 9.689989e-03 -3.180416e-03 5.311867e-02 5.443676e-05 6.745687e-05
