# Moment      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1              2.740277e-04 2.427394e-03 2.671932e-02 2.735431e-04 2.432654e-03 2.622644e-02 4.846535e-07 -5.259896e-06 4.928766e-04
2              3.907981e-04 3.001221e-03 3.552209e-02 3.906124e-04 3.022202e-03 3.520689e-02 1.856931e-07 -2.098100e-05 3.151981e-04
3              3.660731e-04 2.845558e-03 3.392410e-02 3.662600e-04 2.881291e-03 3.375038e-02 -1.869074e-07 -3.573287e-05 1.737234e-04
4              2.718759e-04 2.276304e-03 2.658359e-02 2.724735e-04 2.320877e-03 2.649615e-02 -5.976711e-07 -4.457268e-05 8.743616e-05
5              1.716987e-04 1.339022e-03 1.583660e-02 1.726234e-04 1.386838e-03 1.577800e-02 -9.247167e-07 -4.781579e-05 5.860268e-05
6              8.389411e-05 4.662157e-04 6.371681e-03 8.499335e-05 5.138513e-04 6.302000e-03 -1.099247e-06 -4.763554e-05 6.968042e-05
7              2.436453e-05 -1.721671e-04 -1.774440e-04 2.558678e-05 -1.257104e-04 -2.799290e-04 -1.222251e-06 -4.645663e-05 1.024850e-04
8              -3.227174e-06 -4.898966e-04 -3.510830e-03 -1.939834e-06 -4.456075e-04 -3.652212e-03 -1.287340e-06 -4.428915e-05 1.413820e-04
9              -7.703838e-06 -5.205598e-04 -3.877538e-03 -6.443817e-06 -4.798356e-04 -4.052320e-03 -1.260021e-06 -4.072421e-05 1.747815e-04
10             8.670809e-06 -3.576681e-04 -2.963871e-03 9.887128e-06 -3.205082e-04 -3.159191e-03 -1.216319e-06 -3.715988e-05 1.953205e-04
11             3.356841e-05 -1.243234e-04 -1.529495e-03 3.474973e-05 -9.075275e-05 -1.733033e-03 -1.181317e-06 -3.357067e-05 2.035387e-04
12             5.599213e-05 6.346731e-05 -8.657020e-05 5.715850e-05 9.392393e-05 -2.886550e-04 -1.166375e-06 -3.045662e-05 2.020848e-04
13             6.898349e-05 1.447348e-04 1.118596e-03 7.014619e-05 1.726706e-04 9.247734e-04 -1.162691e-06 -2.793580e-05 1.938223e-04
14             7.050394e-05 1.170491e-04 2.041243e-03 7.167751e-05 1.434357e-04 1.859100e-03 -1.173572e-06 -2.638654e-05 1.821432e-04
15             6.352368e-05 2.971367e-05 2.691470e-03 6.472207e-05 5.563911e-05 2.520716e-03 -1.198391e-06 -2.592543e-05 1.707540e-04
16             5.208019e-05 -6.531429e-05 3.132470e-03 5.331647e-05 -3.898458e-05 2.970465e-03 -1.236285e-06 -2.632971e-05 1.620044e-04
17             3.767253e-05 -1.442037e-04 3.524361e-03 3.895072e-05 -1.169768e-04 3.367672e-03 -1.278183e-06 -2.722690e-05 1.566890e-04
18             2.605568e-05 -1.500851e-04 3.851025e-03 2.737433e-05 -1.217964e-04 3.696548e-03 -1.318649e-06 -2.828867e-05 1.544764e-04
