# Moment      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1              2.398959e-08 5.852732e-05 2.100866e-05 2.422251e-08 5.832159e-05 2.121708e-05 -2.329203e-10 2.057293e-07 -2.084223e-07
2              2.171044e-08 8.982473e-05 -1.981562e-05 2.474533e-08 8.917300e-05 -1.964559e-05 -3.034887e-09 6.517309e-07 -1.700264e-07
3              2.174670e-08 5.817980e-05 -1.058612e-05 2.379801e-08 5.738664e-05 -1.013304e-05 -2.051311e-09 7.931648e-07 -4.530750e-07
4              2.208206e-08 1.633753e-05 3.844170e-05 1.898254e-08 1.576672e-05 3.919430e-05 3.099521e-09 5.708105e-07 -7.526007e-07
5              1.252324e-08 -2.862104e-05 8.062856e-05 6.422092e-09 -2.882075e-05 8.140540e-05 6.101146e-09 1.997156e-07 -7.768332e-07
6              -1.314440e-09 -6.321237e-05 8.698638e-05 -7.490710e-09 -6.304874e-05 8.754169e-05 6.176270e-09 -1.636270e-07 -5.553056e-07
7              -1.017283e-08 -7.724921e-05 5.951804e-05 -1.734646e-08 -7.681507e-05 5.986359e-05 7.173637e-09 -4.341404e-07 -3.455539e-07
8              -1.311870e-08 -7.033182e-05 3.573404e-05 -2.104385e-08 -6.984858e-05 3.584800e-05 7.925147e-09 -4.832372e-07 -1.139628e-07
9              -1.316544e-08 -4.398385e-05 4.699176e-06 -2.055777e-08 -4.375042e-05 4.711436e-06 7.392329e-09 -2.334284e-07 -1.225989e-08
10             -9.774889e-09 -5.359203e-06 -3.257511e-05 -1.676702e-08 -5.553396e-06 -3.236056e-05 6.992134e-09 1.941922e-07 -2.145508e-07
11             -3.552473e-09 3.017140e-05 -6.949357e-05 -1.026910e-08 2.959511e-05 -6.904763e-05 6.716624e-09 5.762902e-07 -4.459441e-07
12             2.237343e-09 5.031780e-05 -8.042838e-05 -3.637884e-09 4.954803e-05 -7.993118e-05 5.875227e-09 7.697631e-07 -4.971914e-07
