# Force       
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1              1.341510e+00 -3.334517e-04 -1.464893e-03 1.105258e+00 -3.319947e-04 -1.462261e-03 2.362518e-01 -1.456911e-06 -2.632116e-06
2              1.412891e+00 -5.532345e-04 -1.819127e-03 1.190349e+00 -5.538779e-04 -1.813618e-03 2.225421e-01 6.434225e-07 -5.509450e-06
3              1.194806e+00 -3.977003e-04 -4.068520e-04 9.830501e-01 -3.996501e-04 -4.015979e-04 2.117561e-01 1.949762e-06 -5.254032e-06
4              8.407383e-01 1.707739e-06 1.731701e-03 6.376307e-01 2.547532e-07 1.735315e-03 2.031076e-01 1.452985e-06 -3.613418e-06
5              4.724834e-01 4.729335e-04 3.404399e-03 2.763278e-01 4.739341e-04 3.405678e-03 1.961556e-01 -1.000604e-06 -1.278775e-06
6              1.746402e-01 8.727058e-04 3.792488e-03 -1.591738e-02 8.767957e-04 3.791829e-03 1.905576e-01 -4.089876e-06 6.584167e-07
7              -1.055446e-02 1.054473e-03 2.684603e-03 -1.964901e-01 1.061089e-03 2.683143e-03 1.859356e-01 -6.615275e-06 1.460084e-06
8              -7.180971e-02 1.262216e-03 1.479354e-03 -2.538088e-01 1.270077e-03 1.478008e-03 1.819990e-01 -7.861039e-06 1.346545e-06
9              -5.028592e-02 1.380867e-03 -1.701582e-05 -2.286977e-01 1.388634e-03 -1.738739e-05 1.784118e-01 -7.767798e-06 3.715682e-07
10             1.606199e-02 1.356953e-03 -1.573734e-03 -1.588860e-01 1.363661e-03 -1.572226e-03 1.749480e-01 -6.707889e-06 -1.508071e-06
11             1.051431e-01 6.140770e-04 -2.675716e-03 -6.640567e-02 6.192346e-04 -2.672071e-03 1.715488e-01 -5.157623e-06 -3.644261e-06
12             1.867920e-01 -2.302603e-04 -2.851957e-03 1.859861e-02 -2.271757e-04 -2.846945e-03 1.681934e-01 -3.084626e-06 -5.011758e-06
13             2.398460e-01 -6.354870e-04 -2.643395e-03 7.490276e-02 -6.345376e-04 -2.637691e-03 1.649433e-01 -9.493297e-07 -5.704012e-06
14             2.694207e-01 -1.154665e-03 -1.715142e-03 1.075340e-01 -1.155234e-03 -1.709422e-03 1.618867e-01 5.696042e-07 -5.720207e-06
15             2.744754e-01 -1.505151e-03 -5.007187e-04 1.153973e-01 -1.506176e-03 -4.956553e-04 1.590780e-01 1.024221e-06 -5.063400e-06
16             2.615320e-01 -1.467996e-03 3.618834e-04 1.049701e-01 -1.468527e-03 3.659415e-04 1.565619e-01 5.311916e-07 -4.058086e-06
17             2.410066e-01 -1.227020e-03 9.621126e-04 8.668566e-02 -1.226394e-03 9.650704e-04 1.543210e-01 -6.254830e-07 -2.957792e-06
18             2.194165e-01 -8.422501e-04 1.302924e-03 6.708196e-02 -8.401598e-04 1.304885e-03 1.523345e-01 -2.090271e-06 -1.961673e-06
19             2.012085e-01 -3.623044e-04 1.362485e-03 5.064121e-02 -3.587845e-04 1.363716e-03 1.505673e-01 -3.519889e-06 -1.230716e-06
20             1.882315e-01 1.913030e-04 1.155734e-03 3.925452e-02 1.959394e-04 1.156592e-03 1.489769e-01 -4.636398e-06 -8.578193e-07
21             1.807961e-01 7.767871e-04 6.832931e-04 3.326908e-02 7.820300e-04 6.841577e-04 1.475270e-01 -5.242898e-06 -8.646640e-07
22             1.789314e-01 1.102322e-03 1.855850e-04 3.274231e-02 1.107654e-03 1.867190e-04 1.461890e-01 -5.332025e-06 -1.134072e-06
23             1.808119e-01 1.087271e-03 -1.522884e-04 3.588057e-02 1.092324e-03 -1.507791e-04 1.449313e-01 -5.052546e-06 -1.509274e-06
24             1.841523e-01 8.601658e-04 -3.255655e-04 4.040615e-02 8.647433e-04 -3.237213e-04 1.437461e-01 -4.577474e-06 -1.844157e-06
25             1.873975e-01 5.322110e-04 -3.823448e-04 4.477007e-02 5.362608e-04 -3.802984e-04 1.426274e-01 -4.049759e-06 -2.046433e-06
26             1.896437e-01 1.646966e-04 -3.532285e-04 4.807992e-02 1.682902e-04 -3.511457e-04 1.415637e-01 -3.593608e-06 -2.082778e-06
27             1.905813e-01 -2.078087e-04 -2.614408e-04 5.002339e-02 -2.045009e-04 -2.594757e-04 1.405579e-01 -3.307773e-06 -1.965090e-06
28             1.903577e-01 -5.039952e-04 -1.593129e-04 5.075099e-02 -5.007596e-04 -1.575523e-04 1.396067e-01 -3.235594e-06 -1.760597e-06
29             1.892131e-01 -6.233501e-04 -9.376767e-05 5.050458e-02 -6.200068e-04 -9.222173e-05 1.387085e-01 -3.343279e-06 -1.545945e-06
30             1.874853e-01 -5.683857e-04 -6.339504e-05 4.962446e-02 -5.648289e-04 -6.202164e-05 1.378609e-01 -3.556844e-06 -1.373396e-06
31             1.855545e-01 -4.039702e-04 -5.259798e-05 4.849585e-02 -4.001644e-04 -5.132853e-05 1.370586e-01 -3.805796e-06 -1.269449e-06
32             1.837462e-01 -2.000942e-04 -4.898550e-05 4.744968e-02 -1.960617e-04 -4.774626e-05 1.362965e-01 -4.032589e-06 -1.239249e-06
33             1.822636e-01 3.757616e-06 -4.770894e-05 4.669346e-02 7.948006e-06 -4.643451e-05 1.355702e-01 -4.190390e-06 -1.274428e-06
34             1.811277e-01 1.839421e-04 -4.281283e-05 4.625201e-02 1.881931e-04 -4.146643e-05 1.348757e-01 -4.251018e-06 -1.346401e-06
35             1.802362e-01 2.781554e-04 -2.067608e-05 4.602703e-02 2.823915e-04 -1.925788e-05 1.342092e-01 -4.236122e-06 -1.418191e-06
36             1.795593e-01 2.701688e-04 8.162555e-06 4.599182e-02 2.743531e-04 9.629876e-06 1.335675e-01 -4.184303e-06 -1.467321e-06
37             1.790487e-01 1.965424e-04 3.117594e-05 4.610080e-02 2.006632e-04 3.265938e-05 1.329479e-01 -4.120864e-06 -1.483435e-06
38             1.786267e-01 1.034802e-04 4.159908e-05 4.627842e-02 1.075364e-04 4.306433e-05 1.323483e-01 -4.056162e-06 -1.465246e-06
39             1.782050e-01 1.692474e-05 3.987009e-05 4.643811e-02 2.092268e-05 4.128666e-05 1.317669e-01 -3.997940e-06 -1.416577e-06
40             1.777246e-01 -5.569899e-05 2.781315e-05 4.652210e-02 -5.174158e-05 2.916224e-05 1.312025e-01 -3.957416e-06 -1.349091e-06
