# Force       
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1              9.561371e-01 2.532976e-02 -8.403697e-03 7.882952e-01 2.527084e-02 -8.400806e-03 1.678419e-01 5.892048e-05 -2.891384e-06
2              1.207033e+00 3.681160e-02 -9.171411e-03 1.038245e+00 3.676284e-02 -9.194230e-03 1.687888e-01 4.876113e-05 2.281893e-05
3              1.149764e+00 3.744395e-02 -7.607386e-03 9.796133e-01 3.741178e-02 -7.649979e-03 1.701504e-01 3.217204e-05 4.259242e-05
4              9.144658e-01 3.118574e-02 -4.843005e-03 7.430447e-01 3.117512e-02 -4.896423e-03 1.714211e-01 1.062025e-05 5.341868e-05
5              6.133383e-01 2.221828e-02 -1.813707e-03 4.408121e-01 2.223521e-02 -1.867831e-03 1.725261e-01 -1.692892e-05 5.412358e-05
6              3.339549e-01 1.349975e-02 6.952855e-04 1.604865e-01 1.354640e-02 6.485266e-04 1.734684e-01 -4.665100e-05 4.675890e-05
7              1.297306e-01 6.569190e-03 2.217446e-03 -4.451355e-02 6.640620e-03 2.182537e-03 1.742442e-01 -7.142991e-05 3.490839e-05
8              2.804206e-02 2.110335e-03 1.529798e-03 -1.467960e-01 2.195097e-03 1.507399e-03 1.748381e-01 -8.476214e-05 2.239886e-05
9              5.620659e-03 -5.734169e-05 4.658196e-04 -1.696125e-01 2.694913e-05 4.535656e-04 1.752332e-01 -8.429081e-05 1.225397e-05
10             3.761914e-02 -4.538379e-04 -2.957772e-04 -1.377835e-01 -3.822664e-04 -3.020332e-04 1.754026e-01 -7.157145e-05 6.256071e-06
11             9.873038e-02 1.476585e-04 -5.557411e-04 -7.660928e-02 1.975938e-04 -5.607275e-04 1.753397e-01 -4.993530e-05 4.986331e-06
12             1.664316e-01 1.059484e-03 -3.258166e-04 -8.632203e-03 1.083075e-03 -3.335858e-04 1.750638e-01 -2.359076e-05 7.769257e-06
13             2.239831e-01 1.901815e-03 2.376789e-04 4.936947e-02 1.898766e-03 2.246427e-04 1.746136e-01 3.048811e-06 1.303616e-05
14             2.622100e-01 2.572171e-03 9.195321e-04 8.817411e-02 2.545654e-03 9.005189e-04 1.740359e-01 2.651700e-05 1.901318e-05
15             2.790050e-01 3.103711e-03 1.554002e-03 1.056291e-01 3.059056e-03 1.529854e-03 1.733759e-01 4.465457e-05 2.414717e-05
16             2.788295e-01 3.568637e-03 1.943752e-03 1.061588e-01 3.511777e-03 1.916253e-03 1.726707e-01 5.686034e-05 2.749932e-05
17             2.682085e-01 4.084253e-03 1.913528e-03 9.625556e-02 4.020389e-03 1.884855e-03 1.719529e-01 6.386386e-05 2.867256e-05
18             2.527854e-01 4.754424e-03 1.452520e-03 8.154072e-02 4.687405e-03 1.424587e-03 1.712447e-01 6.701905e-05 2.793257e-05
19             2.375779e-01 5.568302e-03 6.748110e-04 6.692975e-02 5.500179e-03 6.489839e-04 1.706481e-01 6.812272e-05 2.582705e-05
20             2.257260e-01 6.383011e-03 -2.183495e-04 5.566368e-02 6.314276e-03 -2.414519e-04 1.700623e-01 6.873498e-05 2.310236e-05
21             2.186119e-01 7.013082e-03 -1.020814e-03 4.912885e-02 6.943141e-03 -1.041299e-03 1.694830e-01 6.994101e-05 2.048498e-05
22             2.158418e-01 7.326389e-03 -1.603532e-03 4.701042e-02 7.254184e-03 -1.622092e-03 1.688313e-01 7.220478e-05 1.856054e-05
23             2.163245e-01 7.309946e-03 -1.927349e-03 4.814077e-02 7.234303e-03 -1.944919e-03 1.681837e-01 7.564338e-05 1.756984e-05
24             2.187195e-01 6.954108e-03 -1.949922e-03 5.118329e-02 6.874245e-03 -1.967509e-03 1.675362e-01 7.986382e-05 1.758703e-05
25             2.217249e-01 6.303738e-03 -1.678662e-03 5.483655e-02 6.219347e-03 -1.697039e-03 1.668884e-01 8.439127e-05 1.837738e-05
26             2.243110e-01 5.524126e-03 -1.220034e-03 5.800989e-02 5.435716e-03 -1.239546e-03 1.663011e-01 8.841002e-05 1.951274e-05
27             2.259661e-01 4.737927e-03 -6.805109e-04 6.024904e-02 4.645896e-03 -7.011935e-04 1.657171e-01 9.203127e-05 2.068254e-05
28             2.265751e-01 4.054887e-03 -1.606793e-04 6.143598e-02 3.959834e-03 -1.824491e-04 1.651391e-01 9.505344e-05 2.176987e-05
29             2.262740e-01 3.531669e-03 2.770475e-04 6.170427e-02 3.434232e-03 2.544053e-04 1.645698e-01 9.743725e-05 2.264219e-05
30             2.253129e-01 3.174588e-03 6.083098e-04 6.130075e-02 3.075334e-03 5.850901e-04 1.640121e-01 9.925418e-05 2.321973e-05
31             2.239615e-01 2.984380e-03 8.113538e-04 6.049278e-02 2.883745e-03 7.878722e-04 1.634688e-01 1.006357e-04 2.348159e-05
32             2.224720e-01 2.951633e-03 8.743055e-04 5.953025e-02 2.849905e-03 8.508355e-04 1.629417e-01 1.017279e-04 2.347007e-05
33             2.210382e-01 3.046716e-03 8.073277e-04 5.860730e-02 2.944069e-03 7.840599e-04 1.624309e-01 1.026467e-04 2.326783e-05
34             2.197787e-01 3.225805e-03 6.384977e-04 5.784250e-02 3.122305e-03 6.155265e-04 1.619362e-01 1.035002e-04 2.297125e-05
35             2.187406e-01 3.435400e-03 4.087835e-04 5.728287e-02 3.331064e-03 3.861021e-04 1.614577e-01 1.043360e-04 2.268143e-05
36             2.179172e-01 3.615871e-03 1.709366e-04 5.692261e-02 3.510729e-03 1.484509e-04 1.609946e-01 1.051424e-04 2.248574e-05
37             2.172723e-01 3.725586e-03 -2.803321e-05 5.672579e-02 3.619722e-03 -5.044786e-05 1.605465e-01 1.058641e-04 2.241464e-05
38             2.167538e-01 3.756606e-03 -1.683201e-04 5.664064e-02 3.650161e-03 -1.907855e-04 1.601132e-01 1.064452e-04 2.246540e-05
39             2.163094e-01 3.716339e-03 -2.468095e-04 5.661493e-02 3.609512e-03 -2.694227e-04 1.596945e-01 1.068265e-04 2.261326e-05
40             2.158984e-01 3.618931e-03 -2.685524e-04 5.660817e-02 3.511969e-03 -2.913712e-04 1.592902e-01 1.069621e-04 2.281874e-05
41             2.154949e-01 3.483792e-03 -2.456329e-04 5.659464e-02 3.376942e-03 -2.686774e-04 1.589003e-01 1.068505e-04 2.304450e-05
