# Moment      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1              -3.372598e-06 -1.498881e-05 2.354805e-02 -3.303682e-06 -1.998107e-05 2.343269e-02 -6.891593e-08 4.992257e-06 1.153612e-04
2              1.186153e-06 -6.303092e-05 3.269382e-02 1.100665e-06 -6.604621e-05 3.257491e-02 8.548864e-08 3.015284e-06 1.189050e-04
3              8.570929e-06 -2.172187e-04 3.128954e-02 8.320375e-06 -2.187535e-04 3.117467e-02 2.505538e-07 1.534774e-06 1.148745e-04
4              1.527486e-05 -3.915154e-04 2.360379e-02 1.488515e-05 -3.920667e-04 2.349514e-02 3.897058e-07 5.512887e-07 1.086448e-04
5              1.852134e-05 -4.618594e-04 1.352163e-02 1.802712e-05 -4.620299e-04 1.341971e-02 4.942195e-07 1.705043e-07 1.019120e-04
6              1.804570e-05 -3.814194e-04 4.146071e-03 1.748954e-05 -3.818381e-04 4.050078e-03 5.561595e-07 4.186754e-07 9.599377e-05
7              1.509620e-05 -1.745104e-04 -2.644248e-03 1.451335e-05 -1.755665e-04 -2.736802e-03 5.828542e-07 1.056099e-06 9.255376e-05
8              1.517338e-05 3.166205e-04 -5.950424e-03 1.460975e-05 3.148210e-04 -6.043087e-03 5.636307e-07 1.799478e-06 9.266349e-05
9              1.092136e-05 7.184166e-04 -6.551880e-03 1.040986e-05 7.159875e-04 -6.647833e-03 5.114978e-07 2.429145e-06 9.595303e-05
10             2.783089e-06 8.525075e-04 -5.247552e-03 2.341957e-06 8.496989e-04 -5.348984e-03 4.411324e-07 2.808640e-06 1.014321e-04
11             -7.198514e-06 7.132078e-04 -2.900538e-03 -7.565521e-06 7.103601e-04 -3.008878e-03 3.670071e-07 2.847719e-06 1.083400e-04
12             -1.663695e-05 3.708715e-04 -3.509857e-04 -1.693894e-05 3.682852e-04 -4.669245e-04 3.019941e-07 2.586364e-06 1.159388e-04
13             -2.356668e-05 -6.101999e-05 1.786252e-03 -2.382142e-05 -6.315035e-05 1.662810e-03 2.547424e-07 2.130351e-06 1.234418e-04
14             -2.662707e-05 -4.618743e-04 3.197386e-03 -2.685642e-05 -4.634893e-04 3.067078e-03 2.293500e-07 1.614923e-06 1.303080e-04
15             -2.514172e-05 -7.452911e-04 3.835414e-03 -2.536606e-05 -7.464379e-04 3.699294e-03 2.243403e-07 1.146865e-06 1.361198e-04
16             -1.950886e-05 -8.553220e-04 3.877925e-03 -1.974234e-05 -8.561287e-04 3.737115e-03 2.334741e-07 8.066582e-07 1.408096e-04
17             -1.138522e-05 -7.703980e-04 3.564340e-03 -1.163354e-05 -7.710483e-04 3.419694e-03 2.483237e-07 6.502568e-07 1.446459e-04
18             -2.228011e-06 -5.198953e-04 3.099256e-03 -2.488461e-06 -5.205681e-04 2.951629e-03 2.604507e-07 6.728895e-07 1.476268e-04
19             6.406252e-06 -1.734728e-04 2.645016e-03 6.141586e-06 -1.743121e-04 2.495070e-03 2.646666e-07 8.392703e-07 1.499467e-04
20             1.307512e-05 1.822896e-04 2.293087e-03 1.281557e-05 1.812002e-04 2.141244e-03 2.595510e-07 1.089395e-06 1.518430e-04
21             1.679509e-05 4.707654e-04 2.066757e-03 1.655034e-05 4.694267e-04 1.913233e-03 2.447483e-07 1.338662e-06 1.535241e-04
22             1.735375e-05 6.531488e-04 1.943145e-03 1.712870e-05 6.516235e-04 1.788041e-03 2.250435e-07 1.525306e-06 1.551045e-04
23             1.523726e-05 7.262276e-04 1.879052e-03 1.503451e-05 7.246192e-04 1.722431e-03 2.027422e-07 1.608395e-06 1.566216e-04
24             1.117542e-05 6.887128e-04 1.824398e-03 1.099415e-05 6.871448e-04 1.666514e-03 1.812642e-07 1.568032e-06 1.578848e-04
25             6.305898e-06 5.712502e-04 1.758729e-03 6.138402e-06 5.698052e-04 1.599785e-03 1.674960e-07 1.445055e-06 1.589440e-04
26             1.454106e-06 4.013690e-04 1.676419e-03 1.297633e-06 4.001039e-04 1.516515e-03 1.564726e-07 1.265025e-06 1.599047e-04
27             -2.641034e-06 2.123664e-04 1.583880e-03 -2.789673e-06 2.113183e-04 1.423155e-03 1.486391e-07 1.048113e-06 1.607256e-04
28             -5.497790e-06 3.487361e-05 1.493287e-03 -5.640970e-06 3.405116e-05 1.331915e-03 1.431798e-07 8.224554e-07 1.613725e-04
29             -6.968165e-06 -1.120641e-04 1.414390e-03 -7.105676e-06 -1.126801e-04 1.252558e-03 1.375112e-07 6.160092e-07 1.618322e-04
30             -7.130395e-06 -2.203638e-04 1.352563e-03 -7.261334e-06 -2.208108e-04 1.190445e-03 1.309390e-07 4.470162e-07 1.621179e-04
31             -6.173180e-06 -2.844711e-04 1.312731e-03 -6.296440e-06 -2.847926e-04 1.150489e-03 1.232600e-07 3.215122e-07 1.622423e-04
32             -4.398934e-06 -3.024900e-04 1.297454e-03 -4.512793e-06 -3.027292e-04 1.135219e-03 1.138591e-07 2.392570e-07 1.622350e-04
33             -2.184651e-06 -2.786679e-04 1.304590e-03 -2.287230e-06 -2.788598e-04 1.142462e-03 1.025783e-07 1.919644e-07 1.621281e-04
34             9.375880e-08 -2.221311e-04 1.327885e-03 3.798677e-09 -2.222972e-04 1.165947e-03 8.996012e-08 1.660253e-07 1.619376e-04
35             2.089733e-06 -1.458758e-04 1.357455e-03 2.012450e-06 -1.460227e-04 1.195763e-03 7.728329e-08 1.469136e-07 1.616921e-04
36             3.514854e-06 -6.681496e-05 1.380618e-03 3.450007e-06 -6.694059e-05 1.219207e-03 6.484749e-08 1.256218e-07 1.614119e-04
37             4.238946e-06 -1.084632e-07 1.387963e-03 4.185480e-06 -2.013147e-07 1.226868e-03 5.346541e-08 9.285144e-08 1.610948e-04
38             4.316588e-06 4.761245e-05 1.377397e-03 4.272964e-06 4.756623e-05 1.216658e-03 4.362378e-08 4.621731e-08 1.607387e-04
