# Moment      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1              -7.956656e-05 2.134188e-04 2.920601e-02 -7.944340e-05 2.140299e-04 2.911410e-02 -1.231679e-07 -6.110535e-07 9.190812e-05
2              -8.959105e-05 1.438511e-04 3.607529e-02 -8.974407e-05 1.459025e-04 3.602487e-02 1.530204e-07 -2.051459e-06 5.042665e-05
3              -8.143321e-05 2.497064e-04 3.283553e-02 -8.184981e-05 2.526087e-04 3.282373e-02 4.166004e-07 -2.902340e-06 1.179198e-05
4              -5.308895e-05 3.888745e-04 2.364922e-02 -5.365293e-05 3.923238e-04 2.366781e-02 5.639757e-07 -3.449295e-06 -1.858996e-05
5              -2.079038e-05 4.867297e-04 1.290148e-02 -2.136152e-05 4.902204e-04 1.293821e-02 5.711340e-07 -3.490693e-06 -3.673160e-05
6              8.775163e-06 4.742645e-04 3.449591e-03 8.296016e-06 4.774041e-04 3.492449e-03 4.791469e-07 -3.139574e-06 -4.285764e-05
7              3.099732e-05 3.498559e-04 -3.044362e-03 3.067634e-05 3.525915e-04 -3.002909e-03 3.209867e-07 -2.735657e-06 -4.145301e-05
8              3.969783e-05 2.520843e-04 -5.852627e-03 3.953545e-05 2.542366e-04 -5.816832e-03 1.623878e-07 -2.152326e-06 -3.579577e-05
9              4.125442e-05 8.374231e-05 -5.936497e-03 4.122094e-05 8.553491e-05 -5.907750e-03 3.348799e-08 -1.792600e-06 -2.874756e-05
10             3.758740e-05 -1.060614e-04 -4.304464e-03 3.762944e-05 -1.041545e-04 -4.282788e-03 -4.204742e-08 -1.906899e-06 -2.167649e-05
11             2.961999e-05 -2.556879e-04 -1.772664e-03 2.968047e-05 -2.533383e-04 -1.757348e-03 -6.048153e-08 -2.349562e-06 -1.531683e-05
12             1.903562e-05 -3.021811e-04 8.224283e-04 1.905508e-05 -2.996034e-04 8.322192e-04 -1.946019e-08 -2.577671e-06 -9.790912e-06
13             7.666668e-06 -2.385407e-04 2.874258e-03 7.610135e-06 -2.359516e-04 2.879571e-03 5.653321e-08 -2.589097e-06 -5.312664e-06
14             -2.276162e-06 -8.177281e-05 4.084549e-03 -2.419720e-06 -7.944403e-05 4.088290e-03 1.435576e-07 -2.328787e-06 -3.740119e-06
15             -9.108802e-06 1.102201e-04 4.448583e-03 -9.329979e-06 1.122192e-04 4.452475e-03 2.211766e-07 -1.999090e-06 -3.892304e-06
16             -1.231231e-05 2.907247e-04 4.193188e-03 -1.259236e-05 2.923440e-04 4.198120e-03 2.800577e-07 -1.619367e-06 -4.932122e-06
17             -1.253835e-05 4.464698e-04 3.567771e-03 -1.285041e-05 4.477949e-04 3.574110e-03 3.120630e-07 -1.325091e-06 -6.338972e-06
18             -9.973200e-06 5.554918e-04 2.798705e-03 -1.029799e-05 5.564550e-04 2.806404e-03 3.247860e-07 -9.632137e-07 -7.699235e-06
19             -5.170678e-06 6.020819e-04 2.089994e-03 -5.472927e-06 6.031564e-04 2.098519e-03 3.022489e-07 -1.074499e-06 -8.524477e-06
20             7.872015e-07 5.866162e-04 1.573073e-03 5.048627e-07 5.876150e-04 1.582038e-03 2.823388e-07 -9.987617e-07 -8.965148e-06
21             6.575512e-06 5.246535e-04 1.290165e-03 6.323140e-06 5.257830e-04 1.298821e-03 2.523718e-07 -1.129484e-06 -8.656545e-06
22             1.117077e-05 4.386135e-04 1.208065e-03 1.093860e-05 4.397934e-04 1.215924e-03 2.321676e-07 -1.179901e-06 -7.859662e-06
23             1.436785e-05 3.417497e-04 1.261379e-03 1.415206e-05 3.430859e-04 1.267951e-03 2.157900e-07 -1.336258e-06 -6.572056e-06
24             1.600140e-05 2.458144e-04 1.389207e-03 1.579282e-05 2.472454e-04 1.394161e-03 2.085717e-07 -1.431035e-06 -4.954539e-06
25             1.591667e-05 1.666197e-04 1.530618e-03 1.571083e-05 1.681912e-04 1.533627e-03 2.058332e-07 -1.571531e-06 -3.008537e-06
26             1.436525e-05 1.161717e-04 1.638053e-03 1.415513e-05 1.178225e-04 1.639015e-03 2.101194e-07 -1.650893e-06 -9.617145e-07
27             1.195118e-05 9.864603e-05 1.687967e-03 1.173392e-05 1.003187e-04 1.686812e-03 2.172601e-07 -1.672621e-06 1.154358e-06
28             9.403313e-06 1.102862e-04 1.680533e-03 9.177866e-06 1.119494e-04 1.677340e-03 2.254464e-07 -1.663242e-06 3.193226e-06
29             7.262066e-06 1.425117e-04 1.630899e-03 7.029347e-06 1.441465e-04 1.625768e-03 2.327183e-07 -1.634782e-06 5.130959e-06
