# Force       
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1              8.040020e-01 1.129084e-01 -1.180675e-04 6.784597e-01 1.127540e-01 -1.176709e-04 1.255422e-01 1.544369e-04 -3.966173e-07
2              9.767128e-01 1.495860e-01 5.434317e-04 8.547224e-01 1.495115e-01 5.495607e-04 1.219904e-01 7.442739e-05 -6.129026e-06
3              9.120509e-01 1.404158e-01 -6.325351e-04 7.926515e-01 1.404232e-01 -6.224494e-04 1.193994e-01 -7.391669e-06 -1.008570e-05
4              7.221881e-01 1.051630e-01 -2.542121e-03 6.049087e-01 1.052472e-01 -2.533686e-03 1.172793e-01 -8.417559e-05 -8.434985e-06
5              4.906031e-01 6.122403e-02 -3.951999e-03 3.750630e-01 6.136616e-02 -3.946350e-03 1.155401e-01 -1.421338e-04 -5.649476e-06
6              2.787504e-01 2.170831e-02 -4.159930e-03 1.646470e-01 2.188526e-02 -4.156816e-03 1.141034e-01 -1.769476e-04 -3.114063e-06
7              1.225249e-01 -5.734577e-03 -3.242491e-03 9.629112e-03 -5.539143e-03 -3.248125e-03 1.128958e-01 -1.954343e-04 5.634397e-06
8              4.116151e-02 -1.788090e-02 -2.726176e-03 -7.069411e-02 -1.767978e-02 -2.733168e-03 1.118556e-01 -2.011224e-04 6.991447e-06
9              1.582203e-02 -1.833704e-02 -1.430163e-03 -9.510022e-02 -1.814688e-02 -1.437200e-03 1.109223e-01 -1.901560e-04 7.036585e-06
10             2.812642e-02 -1.124793e-02 2.304311e-04 -8.189373e-02 -1.108487e-02 2.207861e-04 1.100202e-01 -1.630524e-04 9.645081e-06
11             6.271080e-02 -3.321917e-04 1.760895e-03 -4.636657e-02 -2.079821e-04 1.749702e-03 1.090774e-01 -1.242097e-04 1.119311e-05
12             1.049423e-01 1.065263e-02 2.646141e-03 -3.141032e-03 1.073074e-02 2.634813e-03 1.080833e-01 -7.810966e-05 1.132762e-05
13             1.433651e-01 1.898674e-02 2.661911e-03 3.632200e-02 1.901626e-02 2.652353e-03 1.070431e-01 -2.952397e-05 9.557837e-06
14             1.711598e-01 2.339131e-02 1.888167e-03 6.516359e-02 2.338375e-02 1.881779e-03 1.059963e-01 7.564191e-06 6.388244e-06
15             1.860703e-01 2.404440e-02 6.509792e-04 8.110031e-02 2.400930e-02 6.470883e-04 1.049700e-01 3.510040e-05 3.890856e-06
16             1.900839e-01 2.214502e-02 -7.205397e-04 8.609394e-02 2.209207e-02 -7.219548e-04 1.039900e-01 5.294397e-05 1.415128e-06
17             1.871121e-01 1.881201e-02 -2.109834e-03 8.404330e-02 1.874891e-02 -2.109466e-03 1.030688e-01 6.309562e-05 -3.685535e-07
18             1.803712e-01 1.508969e-02 -3.331633e-03 7.815883e-02 1.502109e-02 -3.330519e-03 1.022123e-01 6.859321e-05 -1.113962e-06
19             1.726732e-01 1.192116e-02 -4.184864e-03 7.125555e-02 1.184904e-02 -4.183976e-03 1.014176e-01 7.212710e-05 -8.877285e-07
20             1.660162e-01 9.872336e-03 -4.573558e-03 6.533750e-02 9.796569e-03 -4.572046e-03 1.006787e-01 7.576697e-05 -1.512028e-06
21             1.614049e-01 9.041736e-03 -4.513129e-03 6.141784e-02 8.960384e-03 -4.512679e-03 9.998702e-02 8.135180e-05 -4.499372e-07
22             1.588825e-01 9.152221e-03 -4.121960e-03 5.954782e-02 9.062449e-03 -4.120517e-03 9.933465e-02 8.977258e-05 -1.443065e-06
23             1.578277e-01 9.836133e-03 -3.503728e-03 5.911295e-02 9.735866e-03 -3.503632e-03 9.871475e-02 1.002674e-04 -9.652061e-08
24             1.575401e-01 1.077775e-02 -2.747743e-03 5.941917e-02 1.066471e-02 -2.747280e-03 9.812092e-02 1.130397e-04 -4.630630e-07
25             1.574094e-01 1.165156e-02 -1.975209e-03 5.986194e-02 1.152416e-02 -1.976401e-03 9.754745e-02 1.273965e-04 1.191277e-06
26             1.569996e-01 1.220973e-02 -1.325710e-03 6.000541e-02 1.206719e-02 -1.327738e-03 9.699418e-02 1.425416e-04 2.027909e-06
27             1.561127e-01 1.234767e-02 -8.975777e-04 5.965186e-02 1.219004e-02 -9.010895e-04 9.646089e-02 1.576307e-04 3.511794e-06
28             1.547793e-01 1.210208e-02 -7.248145e-04 5.882990e-02 1.192994e-02 -7.286585e-04 9.594938e-02 1.721425e-04 3.843918e-06
29             1.531525e-01 1.159056e-02 -7.831835e-04 5.769177e-02 1.140489e-02 -7.873268e-04 9.546070e-02 1.856704e-04 4.143274e-06
30             1.515072e-01 1.095666e-02 -1.023945e-03 5.648273e-02 1.075848e-02 -1.028179e-03 9.502442e-02 1.981835e-04 4.234580e-06
31             1.498660e-01 1.025780e-02 -1.397597e-03 5.528559e-02 1.004847e-02 -1.401784e-03 9.458041e-02 2.093356e-04 4.186987e-06
32             1.484037e-01 9.593901e-03 -1.840496e-03 5.424495e-02 9.374391e-03 -1.844406e-03 9.415871e-02 2.195097e-04 3.910055e-06
33             1.472593e-01 9.050197e-03 -2.272727e-03 5.347488e-02 8.822930e-03 -2.276156e-03 9.378442e-02 2.272673e-04 3.428658e-06
34             1.464012e-01 8.655443e-03 -2.646000e-03 5.297236e-02 8.420822e-03 -2.649087e-03 9.342881e-02 2.346212e-04 3.086744e-06
35             1.458027e-01 8.417209e-03 -2.926440e-03 5.271276e-02 8.175461e-03 -2.928906e-03 9.308995e-02 2.417471e-04 2.466142e-06
36             1.453756e-01 8.302276e-03 -3.098436e-03 5.260983e-02 8.053687e-03 -3.100670e-03 9.276578e-02 2.485884e-04 2.233294e-06
37             1.449625e-01 8.238203e-03 -3.168787e-03 5.252875e-02 7.983078e-03 -3.170449e-03 9.243380e-02 2.551246e-04 1.661433e-06
38             1.445497e-01 8.199197e-03 -3.148315e-03 5.243382e-02 7.937684e-03 -3.149713e-03 9.211587e-02 2.615133e-04 1.398112e-06
39             1.441262e-01 8.162005e-03 -3.059771e-03 5.231393e-02 7.894290e-03 -3.060789e-03 9.181232e-02 2.677145e-04 1.018224e-06
40             1.436904e-01 8.110851e-03 -2.932325e-03 5.216827e-02 7.837176e-03 -2.933087e-03 9.152208e-02 2.736749e-04 7.625565e-07
41             1.432532e-01 8.037485e-03 -2.793234e-03 5.200824e-02 7.758292e-03 -2.793517e-03 9.124495e-02 2.791935e-04 2.836991e-07
42             1.428756e-01 7.957070e-03 -2.663221e-03 5.187817e-02 7.672622e-03 -2.663111e-03 9.099743e-02 2.844479e-04 -1.095952e-07
43             1.425376e-01 7.864672e-03 -2.554913e-03 5.177678e-02 7.575704e-03 -2.554751e-03 9.076079e-02 2.889678e-04 -1.613977e-07
44             1.422362e-01 7.759113e-03 -2.475023e-03 5.170137e-02 7.465989e-03 -2.474541e-03 9.053485e-02 2.931241e-04 -4.822583e-07
45             1.419678e-01 7.641894e-03 -2.424154e-03 5.164902e-02 7.345382e-03 -2.423233e-03 9.031880e-02 2.965122e-04 -9.208212e-07
46             1.416770e-01 7.505109e-03 -2.397550e-03 5.157983e-02 7.205698e-03 -2.396590e-03 9.009718e-02 2.994108e-04 -9.603591e-07
