# Moment      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1              1.081361e-05 -8.177761e-04 1.979425e-02 1.080017e-05 -8.160784e-04 1.970509e-02 1.343921e-08 -1.697681e-06 8.916051e-05
2              9.573297e-06 -1.046186e-03 2.525984e-02 9.496135e-06 -1.044636e-03 2.519236e-02 7.716188e-08 -1.550089e-06 6.747511e-05
3              1.214267e-05 -7.774445e-04 2.271428e-02 1.204598e-05 -7.758434e-04 2.267534e-02 9.669005e-08 -1.601056e-06 3.894739e-05
4              1.031808e-05 -5.372040e-04 1.558728e-02 1.022802e-05 -5.354985e-04 1.556984e-02 9.006722e-08 -1.705491e-06 1.744028e-05
5              6.489017e-06 -2.651522e-04 7.258260e-03 6.424116e-06 -2.633475e-04 7.253407e-03 6.490004e-08 -1.804734e-06 4.852978e-06
6              2.294820e-06 -5.236592e-05 -9.576390e-05 2.260607e-06 -5.044407e-05 -9.645228e-05 3.421334e-08 -1.921849e-06 6.883821e-07
7              -1.090101e-06 5.746609e-05 -5.125376e-03 -1.097801e-06 5.955310e-05 -5.127926e-03 7.700172e-09 -2.087012e-06 2.549724e-06
8              -3.230100e-06 5.454232e-05 -7.344735e-03 -3.223138e-06 5.678605e-05 -7.352523e-03 -6.961311e-09 -2.243735e-06 7.788073e-06
9              -7.357085e-06 -6.960415e-05 -7.098341e-03 -7.350874e-06 -6.723256e-05 -7.112120e-03 -6.211373e-09 -2.371588e-06 1.377918e-05
10             -1.053696e-05 -2.379776e-04 -5.370810e-03 -1.054263e-05 -2.355507e-04 -5.389292e-03 5.671430e-09 -2.426824e-06 1.848195e-05
11             -1.012032e-05 -3.561967e-04 -2.928430e-03 -1.014865e-05 -3.538404e-04 -2.949447e-03 2.833126e-08 -2.356293e-06 2.101713e-05
12             -6.220209e-06 -3.617050e-04 -4.998617e-04 -6.276165e-06 -3.595773e-04 -5.212227e-04 5.595588e-08 -2.127728e-06 2.136096e-05
13             -3.793995e-07 -2.406178e-04 1.405183e-03 -4.586268e-07 -2.388409e-04 1.385112e-03 7.922733e-08 -1.776922e-06 2.007016e-05
14             5.318572e-06 -2.644896e-05 2.536922e-03 5.225714e-06 -2.511819e-05 2.519060e-03 9.285872e-08 -1.330763e-06 1.786228e-05
15             9.300368e-06 2.026775e-04 2.880133e-03 9.206656e-06 2.035647e-04 2.864755e-03 9.371188e-08 -8.871419e-07 1.537836e-05
16             1.122220e-05 3.922306e-04 2.652424e-03 1.113858e-05 3.927303e-04 2.639192e-03 8.362120e-08 -4.997186e-07 1.323252e-05
17             1.060491e-05 5.370615e-04 2.066493e-03 1.053799e-05 5.372830e-04 2.054698e-03 6.691694e-08 -2.215720e-07 1.179454e-05
18             7.708408e-06 5.882479e-04 1.334500e-03 7.660424e-06 5.883095e-04 1.323488e-03 4.798403e-08 -6.157885e-08 1.101248e-05
19             3.608546e-06 5.287926e-04 6.510029e-04 3.577875e-06 5.288245e-04 6.402143e-04 3.067055e-08 -3.187555e-08 1.078852e-05
20             -4.613347e-07 3.763397e-04 1.440827e-04 -4.807749e-07 3.764370e-04 1.330133e-04 1.944015e-08 -9.726825e-08 1.106948e-05
21             -3.532258e-06 1.770075e-04 -1.328919e-04 -3.548563e-06 1.772257e-04 -1.445977e-04 1.630443e-08 -2.182631e-07 1.170576e-05
22             -5.276312e-06 -1.152142e-05 -1.985954e-04 -5.296143e-06 -1.117732e-05 -2.110970e-04 1.983077e-08 -3.440915e-07 1.250157e-05
23             -5.784481e-06 -1.760587e-04 -1.194441e-04 -5.812804e-06 -1.756170e-04 -1.327424e-04 2.832262e-08 -4.416229e-07 1.329833e-05
24             -5.116109e-06 -2.962610e-04 5.106663e-05 -5.154605e-06 -2.957747e-04 3.704151e-05 3.849588e-08 -4.863409e-07 1.402512e-05
25             -3.606073e-06 -3.469827e-04 2.549701e-04 -3.654396e-06 -3.464978e-04 2.403295e-04 4.832347e-08 -4.848381e-07 1.464058e-05
26             -1.747350e-06 -3.238599e-04 4.410768e-04 -1.803356e-06 -3.234197e-04 4.259154e-04 5.600557e-08 -4.401899e-07 1.516139e-05
27             -9.355017e-09 -2.430149e-04 5.752911e-04 -6.945244e-08 -2.426413e-04 5.596956e-04 6.009743e-08 -3.736314e-07 1.559548e-05
28             1.290176e-06 -1.352739e-04 6.440946e-04 1.230041e-06 -1.349707e-04 6.281327e-04 6.013535e-08 -3.032509e-07 1.596197e-05
29             2.072810e-06 -3.127425e-05 6.550191e-04 2.015829e-06 -3.103180e-05 6.387249e-04 5.698101e-08 -2.424527e-07 1.629425e-05
30             2.378612e-06 6.099776e-05 6.240091e-04 2.326890e-06 6.120067e-05 6.073957e-04 5.172236e-08 -2.029086e-07 1.661333e-05
31             2.250767e-06 1.299082e-04 5.639826e-04 2.204468e-06 1.301038e-04 5.470690e-04 4.629858e-08 -1.955116e-07 1.691357e-05
32             1.799287e-06 1.633150e-04 4.904931e-04 1.758165e-06 1.635236e-04 4.733010e-04 4.112200e-08 -2.086046e-07 1.719211e-05
33             1.176750e-06 1.588851e-04 4.183459e-04 1.139475e-06 1.591205e-04 4.009141e-04 3.727505e-08 -2.354363e-07 1.743180e-05
34             5.331506e-07 1.237872e-04 3.583427e-04 4.982970e-07 1.240542e-04 3.407247e-04 3.485360e-08 -2.669500e-07 1.761799e-05
35             -1.416126e-08 7.207836e-05 3.165752e-04 -4.841954e-08 7.237973e-05 2.988350e-04 3.425828e-08 -3.013617e-07 1.774025e-05
36             -3.995208e-07 2.036734e-05 2.936400e-04 -4.341816e-07 2.070373e-05 2.758327e-04 3.466080e-08 -3.363906e-07 1.780731e-05
37             -6.102152e-07 -2.188632e-05 2.846704e-04 -6.462735e-07 -2.152280e-05 2.668466e-04 3.605832e-08 -3.635154e-07 1.782375e-05
38             -6.564682e-07 -5.012395e-05 2.844079e-04 -6.942498e-07 -4.974161e-05 2.666025e-04 3.778158e-08 -3.823373e-07 1.780539e-05
39             -5.672818e-07 -6.228617e-05 2.882769e-04 -6.063361e-07 -6.188867e-05 2.705258e-04 3.905436e-08 -3.975033e-07 1.775106e-05
40             -3.963211e-07 -6.143004e-05 2.918524e-04 -4.360794e-07 -6.102138e-05 2.742274e-04 3.975825e-08 -4.086597e-07 1.762500e-05
41             -1.898623e-07 -5.043950e-05 2.932498e-04 -2.298359e-07 -5.001572e-05 2.757472e-04 3.997359e-08 -4.237813e-07 1.750259e-05
42             9.594909e-09 -3.319692e-05 2.913811e-04 -2.996293e-08 -3.275048e-05 2.740019e-04 3.955784e-08 -4.464412e-07 1.737917e-05
43             1.692279e-07 -1.451447e-05 2.861420e-04 1.304723e-07 -1.403757e-05 2.688815e-04 3.875561e-08 -4.768963e-07 1.726041e-05
44             2.729342e-07 1.285250e-06 2.783133e-04 2.352122e-07 1.797421e-06 2.611702e-04 3.772200e-08 -5.121712e-07 1.714310e-05
45             3.158986e-07 1.236396e-05 2.691462e-04 2.793212e-07 1.291205e-05 2.520906e-04 3.657741e-08 -5.480909e-07 1.705551e-05
46             3.083542e-07 1.845054e-05 2.593467e-04 2.728946e-07 1.903893e-05 2.423902e-04 3.545966e-08 -5.883802e-07 1.695643e-05
47             2.648234e-07 1.996278e-05 2.496057e-04 2.302563e-07 2.059464e-05 2.327668e-04 3.456715e-08 -6.318580e-07 1.683889e-05
48             2.023264e-07 1.766150e-05 2.405266e-04 1.682965e-07 1.833795e-05 2.238219e-04 3.402987e-08 -6.764507e-07 1.670461e-05
49             1.389627e-07 1.254404e-05 2.326770e-04 1.051767e-07 1.326825e-05 2.161278e-04 3.378596e-08 -7.242067e-07 1.654920e-05
50             9.304855e-08 5.852953e-06 2.265564e-04 5.928123e-08 6.626739e-06 2.102045e-04 3.376732e-08 -7.737854e-07 1.635190e-05
51             7.303630e-08 -4.686930e-07 2.225851e-04 3.905583e-08 3.534148e-07 2.064426e-04 3.398047e-08 -8.221078e-07 1.614248e-05
52             7.820755e-08 -5.271290e-06 2.204921e-04 4.388259e-08 -4.401473e-06 2.045639e-04 3.432496e-08 -8.698173e-07 1.592822e-05
53             1.042862e-07 -8.370977e-06 2.197012e-04 6.953757e-08 -7.451431e-06 2.039893e-04 3.474859e-08 -9.195455e-07 1.571193e-05
54             1.465198e-07 -1.000837e-05 2.196881e-04 1.113454e-07 -9.036354e-06 2.041928e-04 3.517449e-08 -9.720116e-07 1.549527e-05
55             1.992968e-07 -1.047676e-05 2.200651e-04 1.636944e-07 -9.452291e-06 2.047858e-04 3.560245e-08 -1.024467e-06 1.527933e-05
56             2.574652e-07 -1.013950e-05 2.205387e-04 2.214801e-07 -9.061431e-06 2.054728e-04 3.598515e-08 -1.078069e-06 1.506596e-05
57             3.157537e-07 -9.327475e-06 2.208718e-04 2.794287e-07 -8.185561e-06 2.060426e-04 3.632497e-08 -1.141915e-06 1.482919e-05
58             3.624947e-07 -8.170489e-06 2.210117e-04 3.260394e-07 -6.967836e-06 2.064178e-04 3.645524e-08 -1.202653e-06 1.459389e-05
59             3.904592e-07 -6.971095e-06 2.210155e-04 3.539581e-07 -5.709269e-06 2.066476e-04 3.650111e-08 -1.261826e-06 1.436784e-05
60             4.000364e-07 -5.998983e-06 2.209570e-04 3.635495e-07 -4.678109e-06 2.068055e-04 3.648697e-08 -1.320874e-06 1.415150e-05
61             3.964801e-07 -5.368924e-06 2.208908e-04 3.601786e-07 -3.991753e-06 2.069461e-04 3.630151e-08 -1.377171e-06 1.394468e-05
62             3.840974e-07 -4.999276e-06 2.209795e-04 3.480079e-07 -3.569433e-06 2.072177e-04 3.608954e-08 -1.429844e-06 1.376188e-05
63             3.671081e-07 -4.926700e-06 2.212059e-04 3.312197e-07 -3.444489e-06 2.076174e-04 3.588840e-08 -1.482211e-06 1.358848e-05
64             3.489372e-07 -5.161189e-06 2.215659e-04 3.132505e-07 -3.628706e-06 2.081409e-04 3.568675e-08 -1.532483e-06 1.342496e-05
65             3.322288e-07 -5.716795e-06 2.220666e-04 2.967706e-07 -4.135028e-06 2.087937e-04 3.545824e-08 -1.581768e-06 1.327289e-05
66             3.190195e-07 -6.399177e-06 2.227246e-04 2.837675e-07 -4.768993e-06 2.095949e-04 3.525198e-08 -1.630184e-06 1.312969e-05
67             3.102496e-07 -7.024591e-06 2.234037e-04 2.751981e-07 -5.346723e-06 2.104212e-04 3.505149e-08 -1.677868e-06 1.298246e-05
68             3.048987e-07 -7.408224e-06 2.241096e-04 2.700510e-07 -5.684375e-06 2.112656e-04 3.484765e-08 -1.723849e-06 1.284400e-05
69             3.017539e-07 -7.589782e-06 2.248574e-04 2.671283e-07 -5.821151e-06 2.121424e-04 3.462566e-08 -1.768630e-06 1.271504e-05
70             2.999105e-07 -7.656400e-06 2.256922e-04 2.655512e-07 -5.843059e-06 2.130969e-04 3.435925e-08 -1.813341e-06 1.259529e-05
71             2.985299e-07 -7.646356e-06 2.266429e-04 2.644972e-07 -5.788334e-06 2.141595e-04 3.403274e-08 -1.858022e-06 1.248342e-05
72             2.970666e-07 -7.580242e-06 2.277340e-04 2.633768e-07 -5.678760e-06 2.153549e-04 3.368978e-08 -1.901482e-06 1.237913e-05
73             2.956159e-07 -7.379532e-06 2.289905e-04 2.623173e-07 -5.436048e-06 2.167093e-04 3.329855e-08 -1.943484e-06 1.228121e-05
74             2.936065e-07 -7.066777e-06 2.303569e-04 2.606757e-07 -5.082248e-06 2.181663e-04 3.293081e-08 -1.984529e-06 1.219053e-05
75             2.902498e-07 -6.688844e-06 2.317101e-04 2.576701e-07 -4.665106e-06 2.196043e-04 3.257965e-08 -2.023737e-06 1.210576e-05
76             2.853928e-07 -6.300972e-06 2.329570e-04 2.531661e-07 -4.240071e-06 2.209306e-04 3.222666e-08 -2.060902e-06 1.202637e-05
77             2.782572e-07 -6.051465e-06 2.341975e-04 2.463975e-07 -3.954876e-06 2.222417e-04 3.185965e-08 -2.096589e-06 1.195581e-05
78             2.703441e-07 -5.878003e-06 2.353683e-04 2.388271e-07 -3.747560e-06 2.234797e-04 3.151692e-08 -2.130443e-06 1.188857e-05
79             2.640538e-07 -5.595019e-06 2.363331e-04 2.328348e-07 -3.435068e-06 2.245090e-04 3.121904e-08 -2.159951e-06 1.182409e-05
80             2.585365e-07 -5.308823e-06 2.372240e-04 2.276176e-07 -3.117260e-06 2.254607e-04 3.091887e-08 -2.191563e-06 1.176332e-05
81             2.543417e-07 -4.969515e-06 2.380410e-04 2.237009e-07 -2.745522e-06 2.263379e-04 3.064082e-08 -2.223993e-06 1.170307e-05
82             2.518095e-07 -4.535771e-06 2.388052e-04 2.214245e-07 -2.280504e-06 2.271589e-04 3.038501e-08 -2.255267e-06 1.164631e-05
83             2.510203e-07 -3.989569e-06 2.395381e-04 2.208653e-07 -1.704183e-06 2.279451e-04 3.015500e-08 -2.285385e-06 1.159305e-05
84             2.516009e-07 -3.349897e-06 2.402393e-04 2.216538e-07 -1.035265e-06 2.286961e-04 2.994713e-08 -2.314632e-06 1.154321e-05
85             2.528066e-07 -2.672419e-06 2.408876e-04 2.230477e-07 -3.293585e-07 2.293910e-04 2.975898e-08 -2.343061e-06 1.149657e-05
86             2.541287e-07 -2.010394e-06 2.414718e-04 2.245404e-07 3.603425e-07 2.300189e-04 2.958830e-08 -2.370736e-06 1.145286e-05
87             2.555515e-07 -1.385909e-06 2.420011e-04 2.261177e-07 1.011732e-06 2.305893e-04 2.943387e-08 -2.397640e-06 1.141186e-05
88             2.573338e-07 -7.926653e-07 2.424940e-04 2.280370e-07 1.630976e-06 2.311207e-04 2.929679e-08 -2.423642e-06 1.137337e-05
89             2.597290e-07 -2.158509e-07 2.429630e-04 2.305525e-07 2.232864e-06 2.316257e-04 2.917651e-08 -2.448715e-06 1.133730e-05
90             2.628777e-07 3.568846e-07 2.434105e-04 2.338013e-07 2.829472e-06 2.321069e-04 2.907644e-08 -2.472588e-06 1.130365e-05
91             2.668001e-07 9.326959e-07 2.438338e-04 2.378059e-07 3.428003e-06 2.325615e-04 2.899425e-08 -2.495307e-06 1.127228e-05
92             2.714309e-07 1.514584e-06 2.442295e-04 2.425034e-07 4.031528e-06 2.329864e-04 2.892748e-08 -2.516945e-06 1.124314e-05
93             2.766460e-07 2.101309e-06 2.445954e-04 2.477705e-07 4.638801e-06 2.333792e-04 2.887547e-08 -2.537491e-06 1.121617e-05
94             2.822489e-07 2.684783e-06 2.449292e-04 2.534117e-07 5.241763e-06 2.337379e-04 2.883719e-08 -2.556980e-06 1.119128e-05
95             2.879703e-07 3.248774e-06 2.452279e-04 2.591584e-07 5.824170e-06 2.340595e-04 2.881185e-08 -2.575396e-06 1.116835e-05
96             2.935539e-07 3.774999e-06 2.454897e-04 2.647552e-07 6.367738e-06 2.343424e-04 2.879870e-08 -2.592739e-06 1.114728e-05
97             2.988756e-07 4.253411e-06 2.457177e-04 2.700788e-07 6.862434e-06 2.345897e-04 2.879680e-08 -2.609022e-06 1.112795e-05
98             3.039561e-07 4.685473e-06 2.459188e-04 2.751503e-07 7.309685e-06 2.348086e-04 2.880574e-08 -2.624212e-06 1.111028e-05
99             3.088745e-07 5.078861e-06 2.461013e-04 2.800507e-07 7.717211e-06 2.350071e-04 2.882372e-08 -2.638349e-06 1.109418e-05
100            3.136884e-07 5.441324e-06 2.462711e-04 2.848392e-07 8.092799e-06 2.351915e-04 2.884916e-08 -2.651476e-06 1.107954e-05
101            3.184057e-07 5.778044e-06 2.464318e-04 2.895242e-07 8.441623e-06 2.353655e-04 2.888148e-08 -2.663580e-06 1.106630e-05
