# Force       
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1              3.487190e+00 2.924646e-01 4.377723e-03 3.202250e+00 2.923578e-01 4.373992e-03 2.849395e-01 1.067814e-04 3.731472e-06
2              4.683557e+00 4.110174e-01 -1.341123e-03 4.399133e+00 4.109784e-01 -1.323320e-03 2.844243e-01 3.902400e-05 -1.780271e-05
3              4.543384e+00 4.000738e-01 -9.951916e-03 4.258102e+00 4.002243e-01 -9.918222e-03 2.852824e-01 -1.504890e-04 -3.369399e-05
4              3.591867e+00 3.078213e-01 -1.746670e-02 3.305189e+00 3.081260e-01 -1.742419e-02 2.866777e-01 -3.047041e-04 -4.250581e-05
5              2.314267e+00 1.807128e-01 -1.954802e-02 2.025753e+00 1.811108e-01 -1.950554e-02 2.885141e-01 -3.979948e-04 -4.247408e-05
6              1.098447e+00 5.810397e-02 -1.545057e-02 8.077248e-01 5.853835e-02 -1.541569e-02 2.907220e-01 -4.343789e-04 -3.487451e-05
7              1.871816e-01 -3.403421e-02 -5.577225e-03 -1.059401e-01 -3.360680e-02 -5.554804e-03 2.931217e-01 -4.274089e-04 -2.242049e-05
8              -2.862893e-01 -8.129350e-02 3.902323e-03 -5.817611e-01 -8.090381e-02 3.911312e-03 2.954718e-01 -3.896913e-04 -8.989398e-06
9              -4.174439e-01 -9.283772e-02 1.536336e-02 -7.149920e-01 -9.250284e-02 1.536162e-02 2.975481e-01 -3.348798e-04 1.742420e-06
10             -3.068180e-01 -7.860694e-02 2.522856e-02 -6.059673e-01 -7.833274e-02 2.522065e-02 2.991493e-01 -2.742023e-04 7.907435e-06
11             -6.548409e-02 -4.868478e-02 3.069676e-02 -3.656515e-01 -4.846987e-02 3.068798e-02 3.001674e-01 -2.149041e-04 8.785811e-06
12             2.117004e-01 -1.302199e-02 2.980741e-02 -8.890386e-02 -1.286093e-02 2.980214e-02 3.006042e-01 -1.610602e-04 5.276449e-06
13             4.536051e-01 1.995693e-02 2.265647e-02 1.530545e-01 2.007180e-02 2.265728e-02 3.005506e-01 -1.148688e-04 -8.051006e-07
14             6.202198e-01 4.450501e-02 1.128559e-02 3.200729e-01 4.458202e-02 1.129304e-02 3.001469e-01 -7.701696e-05 -7.450664e-06
