# Force       
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1              2.156996e+00 -6.580498e-02 -4.484717e-03 1.944533e+00 -6.573214e-02 -4.491860e-03 2.124631e-01 -7.283405e-05 7.142572e-06
2              2.848053e+00 -7.863551e-02 -4.050493e-03 2.635506e+00 -7.875938e-02 -4.068396e-03 2.125464e-01 1.238707e-04 1.790245e-05
3              2.749908e+00 -7.221109e-02 5.476455e-05 2.536932e+00 -7.249145e-02 2.004386e-05 2.129754e-01 2.803565e-04 3.472069e-05
4              2.186281e+00 -5.002402e-02 4.632458e-03 1.972750e+00 -5.042538e-02 4.582594e-03 2.135305e-01 4.013608e-04 4.986421e-05
5              1.440976e+00 -1.986179e-02 7.523065e-03 1.226722e+00 -2.035386e-02 7.464953e-03 2.142530e-01 4.920657e-04 5.811256e-05
6              7.364236e-01 1.050886e-02 7.804461e-03 5.212734e-01 9.956385e-03 7.742670e-03 2.151501e-01 5.524711e-04 6.179109e-05
7              2.096330e-01 3.534569e-02 5.982557e-03 -6.514668e-03 3.476543e-02 5.924309e-03 2.161476e-01 5.802671e-04 5.824774e-05
8              -6.606897e-02 5.046208e-02 3.240562e-03 -2.831917e-01 4.988114e-02 3.192306e-03 2.171228e-01 5.809377e-04 4.825597e-05
9              -1.459717e-01 5.656384e-02 -7.748297e-05 -3.639198e-01 5.599599e-02 -1.172799e-04 2.179481e-01 5.678519e-04 3.979695e-05
10             -8.803286e-02 5.481147e-02 -2.330700e-03 -3.065190e-01 5.425411e-02 -2.361186e-03 2.184861e-01 5.573606e-04 3.048688e-05
11             4.595088e-02 4.658649e-02 -2.926951e-03 -1.727045e-01 4.603127e-02 -2.948140e-03 2.186554e-01 5.552221e-04 2.118944e-05
12             2.012182e-01 3.415187e-02 -1.538823e-03 -1.723836e-02 3.358837e-02 -1.553880e-03 2.184565e-01 5.634939e-04 1.505693e-05
13             3.364650e-01 2.027154e-02 1.527015e-03 1.185173e-01 1.968749e-02 1.513920e-03 2.179477e-01 5.840431e-04 1.309442e-05
14             4.286209e-01 7.569347e-03 5.404467e-03 2.114100e-01 6.955527e-03 5.389705e-03 2.172109e-01 6.138202e-04 1.476187e-05
15             4.719043e-01 -1.905057e-03 8.960439e-03 2.555594e-01 -2.553779e-03 8.942352e-03 2.163449e-01 6.487228e-04 1.808709e-05
16             4.757314e-01 -7.542863e-03 1.138303e-02 2.603053e-01 -8.227155e-03 1.135844e-02 2.154261e-01 6.842923e-04 2.459554e-05
17             4.555860e-01 -9.829661e-03 1.270864e-02 2.409491e-01 -1.054692e-02 1.267692e-02 2.146370e-01 7.172568e-04 3.171373e-05
18             4.244717e-01 -9.236741e-03 1.289591e-02 2.105925e-01 -9.980810e-03 1.285816e-02 2.138792e-01 7.440689e-04 3.775163e-05
19             3.935397e-01 -6.580558e-03 1.196943e-02 1.803784e-01 -7.344041e-03 1.192764e-02 2.131613e-01 7.634829e-04 4.178794e-05
20             3.701821e-01 -2.949367e-03 1.016657e-02 1.577031e-01 -3.725196e-03 1.012179e-02 2.124790e-01 7.758292e-04 4.478755e-05
21             3.574128e-01 5.867462e-04 7.895532e-03 1.455924e-01 -1.963492e-04 7.849025e-03 2.118204e-01 7.830955e-04 4.650648e-05
22             3.545233e-01 3.250966e-03 5.594307e-03 1.433517e-01 2.463222e-03 5.546890e-03 2.111716e-01 7.877449e-04 4.741763e-05
23             3.587199e-01 4.712689e-03 3.522187e-03 1.481985e-01 3.921043e-03 3.474657e-03 2.105214e-01 7.916463e-04 4.753021e-05
24             3.667015e-01 4.922361e-03 1.826794e-03 1.568399e-01 4.125207e-03 1.779988e-03 2.098616e-01 7.971548e-04 4.680621e-05
25             3.751074e-01 4.057498e-03 6.497892e-04 1.659180e-01 3.253088e-03 6.038262e-04 2.091894e-01 8.044106e-04 4.596303e-05
26             3.817500e-01 2.520569e-03 1.391267e-05 1.732399e-01 1.706008e-03 -3.039123e-05 2.085102e-01 8.145611e-04 4.430391e-05
27             3.857224e-01 6.604459e-04 -1.035172e-04 1.778936e-01 -1.665935e-04 -1.467337e-04 2.078288e-01 8.270394e-04 4.321658e-05
28             3.869280e-01 -1.205325e-03 2.164606e-04 1.797760e-01 -2.046094e-03 1.750425e-04 2.071520e-01 8.407690e-04 4.141810e-05
29             3.857836e-01 -2.853439e-03 8.562452e-04 1.792989e-01 -3.708348e-03 8.157251e-04 2.064847e-01 8.549094e-04 4.052014e-05
30             3.829770e-01 -4.142489e-03 1.689138e-03 1.771431e-01 -5.010722e-03 1.649706e-03 2.058339e-01 8.682330e-04 3.943242e-05
31             3.792579e-01 -5.010211e-03 2.570502e-03 1.740536e-01 -5.890402e-03 2.531525e-03 2.052042e-01 8.801902e-04 3.897709e-05
32             3.753115e-01 -5.473565e-03 3.365990e-03 1.707127e-01 -6.363660e-03 3.327507e-03 2.045988e-01 8.900951e-04 3.848288e-05
33             3.716405e-01 -5.614338e-03 3.974404e-03 1.676228e-01 -6.512271e-03 3.936146e-03 2.040177e-01 8.979326e-04 3.825756e-05
34             3.685386e-01 -5.548515e-03 4.338914e-03 1.650766e-01 -6.452219e-03 4.300930e-03 2.034620e-01 9.037044e-04 3.798431e-05
35             3.661108e-01 -5.392462e-03 4.440516e-03 1.631806e-01 -6.300173e-03 4.402784e-03 2.029301e-01 9.077110e-04 3.773232e-05
36             3.643307e-01 -5.244278e-03 4.307659e-03 1.619106e-01 -6.154600e-03 4.270138e-03 2.024201e-01 9.103217e-04 3.752080e-05
37             3.630824e-01 -5.176535e-03 4.023790e-03 1.611526e-01 -6.088550e-03 3.986565e-03 2.019298e-01 9.120151e-04 3.722553e-05
38             3.622059e-01 -5.226004e-03 3.680098e-03 1.607476e-01 -6.139154e-03 3.643264e-03 2.014583e-01 9.131499e-04 3.683349e-05
39             3.615479e-01 -5.393584e-03 3.343208e-03 1.605433e-01 -6.307623e-03 3.306782e-03 2.010045e-01 9.140386e-04 3.642620e-05
40             3.609895e-01 -5.655946e-03 3.056376e-03 1.604219e-01 -6.570728e-03 3.020359e-03 2.005676e-01 9.147823e-04 3.601752e-05
