# Force       
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1              1.710099e+00 -2.192562e-02 3.805981e+00 1.582920e+00 -2.189719e-02 3.804649e+00 1.271793e-01 -2.842792e-05 1.331370e-03
2              2.218183e+00 -2.172582e-02 5.106734e+00 2.096046e+00 -2.180188e-02 5.110269e+00 1.221363e-01 7.605669e-05 -3.534782e-03
3              2.084493e+00 -1.709029e-02 4.784996e+00 1.966208e+00 -1.722678e-02 4.793564e+00 1.182846e-01 1.364874e-04 -8.567229e-03
4              1.583095e+00 -9.962152e-03 3.502406e+00 1.467752e+00 -1.013789e-02 3.514677e+00 1.153425e-01 1.757336e-04 -1.227036e-02
5              9.494764e-01 -1.669821e-03 1.872331e+00 8.362163e-01 -1.869343e-03 1.886412e+00 1.132601e-01 1.995224e-04 -1.408159e-02
6              3.660815e-01 6.324217e-03 3.794172e-01 2.541654e-01 6.113863e-03 3.934916e-01 1.119162e-01 2.103545e-04 -1.407441e-02
7              -5.435986e-02 1.292507e-02 -6.720776e-01 -1.654700e-01 1.271287e-02 -6.593532e-01 1.111101e-01 2.122033e-04 -1.272442e-02
8              -2.540084e-01 1.724455e-02 -1.128048e+00 -3.646155e-01 1.703433e-02 -1.117375e+00 1.106072e-01 2.102211e-04 -1.067307e-02
9              -2.841936e-01 1.913340e-02 -1.133979e+00 -3.943623e-01 1.892543e-02 -1.125422e+00 1.101687e-01 2.079784e-04 -8.557284e-03
10             -1.997281e-01 1.877560e-02 -8.374975e-01 -3.093506e-01 1.856541e-02 -8.306584e-01 1.096225e-01 2.101836e-04 -6.839015e-03
11             -5.365417e-02 1.637108e-02 -3.819321e-01 -1.625195e-01 1.615393e-02 -3.761732e-01 1.088653e-01 2.171500e-04 -5.758928e-03
12             1.032635e-01 1.236240e-02 8.946983e-02 -4.624205e-03 1.213600e-02 9.482287e-02 1.078877e-01 2.263994e-04 -5.353047e-03
13             2.335184e-01 7.487670e-03 4.703063e-01 1.267753e-01 7.251888e-03 4.758007e-01 1.067431e-01 2.357818e-04 -5.494395e-03
14             3.170176e-01 2.638443e-03 7.038161e-01 2.114850e-01 2.394922e-03 7.097879e-01 1.055326e-01 2.435202e-04 -5.971792e-03
15             3.495635e-01 -1.261017e-03 7.805744e-01 2.452328e-01 -1.510014e-03 7.871321e-01 1.043307e-01 2.489969e-04 -6.557765e-03
16             3.429791e-01 -3.759869e-03 7.407955e-01 2.397732e-01 -4.012301e-03 7.478608e-01 1.032059e-01 2.524319e-04 -7.065271e-03
17             3.130090e-01 -5.134776e-03 6.304377e-01 2.108044e-01 -5.389088e-03 6.378185e-01 1.022046e-01 2.543119e-04 -7.380794e-03
18             2.726943e-01 -5.309414e-03 4.901257e-01 1.713529e-01 -5.565087e-03 4.975943e-01 1.013414e-01 2.556735e-04 -7.468654e-03
19             2.338715e-01 -4.439528e-03 3.581295e-01 1.332673e-01 -4.696971e-03 3.654829e-01 1.006042e-01 2.574430e-04 -7.353413e-03
20             2.044206e-01 -2.905164e-03 2.603678e-01 1.044534e-01 -3.164850e-03 2.674659e-01 9.996721e-02 2.596856e-04 -7.098177e-03
21             1.876341e-01 -1.197703e-03 2.078257e-01 8.823390e-02 -1.460149e-03 2.146046e-01 9.940023e-02 2.624462e-04 -6.778859e-03
22             1.826696e-01 2.234340e-04 1.971127e-01 8.379435e-02 -4.205294e-05 2.035766e-01 9.887523e-02 2.654869e-04 -6.463971e-03
23             1.857097e-01 1.189346e-03 2.140513e-01 8.733889e-02 9.208112e-04 2.202534e-01 9.837085e-02 2.685349e-04 -6.202101e-03
24             1.930971e-01 1.631593e-03 2.459441e-01 9.522303e-02 1.360141e-03 2.519602e-01 9.787403e-02 2.714523e-04 -6.016019e-03
25             2.015614e-01 1.511930e-03 2.812729e-01 1.041813e-01 1.238139e-03 2.871784e-01 9.738017e-02 2.737911e-04 -5.905472e-03
26             2.087130e-01 9.404200e-04 3.109588e-01 1.118065e-01 6.647562e-04 3.168128e-01 9.690655e-02 2.756638e-04 -5.853999e-03
27             2.131318e-01 7.168958e-05 3.297131e-01 1.166868e-01 -2.051973e-04 3.355512e-01 9.644500e-02 2.768869e-04 -5.838114e-03
28             2.145237e-01 -8.987807e-04 3.363846e-01 1.185212e-01 -1.176391e-03 3.422182e-01 9.600254e-02 2.776103e-04 -5.833627e-03
29             2.134354e-01 -1.810516e-03 3.331566e-01 1.178516e-01 -2.088512e-03 3.389777e-01 9.558380e-02 2.779960e-04 -5.821178e-03
30             2.107134e-01 -2.603838e-03 3.233723e-01 1.155221e-01 -2.882027e-03 3.291615e-01 9.519131e-02 2.781895e-04 -5.789168e-03
31             2.072047e-01 -3.231474e-03 3.102546e-01 1.123789e-01 -3.509759e-03 3.159887e-01 9.482582e-02 2.782844e-04 -5.734080e-03
32             2.036856e-01 -3.655590e-03 2.968694e-01 1.091998e-01 -3.933982e-03 3.025284e-01 9.448587e-02 2.783926e-04 -5.658937e-03
33             2.007031e-01 -3.881236e-03 2.854947e-01 1.065340e-01 -4.159805e-03 2.910655e-01 9.416913e-02 2.785692e-04 -5.570801e-03
34             1.985124e-01 -3.950771e-03 2.772749e-01 1.046397e-01 -4.229500e-03 2.827528e-01 9.387272e-02 2.787296e-04 -5.477884e-03
35             1.971145e-01 -3.925077e-03 2.722956e-01 1.035207e-01 -4.203830e-03 2.776833e-01 9.359379e-02 2.787532e-04 -5.387723e-03
36             1.963532e-01 -3.864930e-03 2.699538e-01 1.030232e-01 -4.143537e-03 2.752593e-01 9.333005e-02 2.786072e-04 -5.305423e-03
37             1.960038e-01 -3.820000e-03 2.692989e-01 1.029240e-01 -4.098251e-03 2.745324e-01 9.307980e-02 2.782516e-04 -5.233510e-03
38             1.957764e-01 -3.833067e-03 2.692113e-01 1.029385e-01 -4.110741e-03 2.743834e-01 9.283792e-02 2.776735e-04 -5.172113e-03
39             1.955827e-01 -3.897206e-03 2.690202e-01 1.029703e-01 -4.174118e-03 2.741392e-01 9.261246e-02 2.769125e-04 -5.119019e-03
40             1.953047e-01 -4.008579e-03 2.682181e-01 1.029057e-01 -4.284484e-03 2.732901e-01 9.239897e-02 2.759050e-04 -5.072037e-03
41             1.948902e-01 -4.155683e-03 2.665982e-01 1.026927e-01 -4.430356e-03 2.716267e-01 9.219751e-02 2.746732e-04 -5.028511e-03
42             1.943574e-01 -4.314658e-03 2.643686e-01 1.023493e-01 -4.588120e-03 2.693546e-01 9.200804e-02 2.734623e-04 -4.986048e-03
43             1.937327e-01 -4.476744e-03 2.616319e-01 1.019024e-01 -4.748825e-03 2.665758e-01 9.183030e-02 2.720809e-04 -4.943888e-03
44             1.930673e-01 -4.633372e-03 2.586235e-01 1.014031e-01 -4.903927e-03 2.635250e-01 9.166418e-02 2.705546e-04 -4.901504e-03
45             1.924196e-01 -4.776146e-03 2.556425e-01 1.009103e-01 -5.045045e-03 2.605014e-01 9.150929e-02 2.688987e-04 -4.858900e-03
46             1.917933e-01 -4.903318e-03 2.528145e-01 1.004283e-01 -5.170459e-03 2.576365e-01 9.136500e-02 2.671409e-04 -4.822092e-03
47             1.912269e-01 -5.011682e-03 2.503189e-01 9.999607e-02 -5.277037e-03 2.551043e-01 9.123080e-02 2.653553e-04 -4.785398e-03
48             1.906961e-01 -5.106271e-03 2.480904e-01 9.959030e-02 -5.369840e-03 2.528397e-01 9.110577e-02 2.635686e-04 -4.749318e-03
49             1.902545e-01 -5.184950e-03 2.462270e-01 9.926434e-02 -5.446744e-03 2.509411e-01 9.099014e-02 2.617945e-04 -4.714041e-03
50             1.898899e-01 -5.251451e-03 2.446465e-01 9.900708e-02 -5.511477e-03 2.493266e-01 9.088280e-02 2.600259e-04 -4.680174e-03
51             1.895837e-01 -5.309161e-03 2.432477e-01 9.880051e-02 -5.567407e-03 2.478957e-01 9.078323e-02 2.582461e-04 -4.648021e-03
52             1.893159e-01 -5.360732e-03 2.419329e-01 9.862488e-02 -5.617175e-03 2.465506e-01 9.069100e-02 2.564435e-04 -4.617704e-03
53             1.890416e-01 -5.408656e-03 2.405437e-01 9.843514e-02 -5.663268e-03 2.451330e-01 9.060646e-02 2.546123e-04 -4.589247e-03
54             1.887721e-01 -5.451547e-03 2.391352e-01 9.824345e-02 -5.704322e-03 2.436975e-01 9.052868e-02 2.527749e-04 -4.562337e-03
55             1.885219e-01 -5.488560e-03 2.377847e-01 9.806474e-02 -5.739490e-03 2.423215e-01 9.045720e-02 2.509302e-04 -4.536761e-03
56             1.882950e-01 -5.520103e-03 2.365185e-01 9.790330e-02 -5.769186e-03 2.410309e-01 9.039172e-02 2.490828e-04 -4.512340e-03
57             1.880851e-01 -5.547424e-03 2.353081e-01 9.775317e-02 -5.794655e-03 2.397970e-01 9.033193e-02 2.472309e-04 -4.488929e-03
58             1.878840e-01 -5.571752e-03 2.341144e-01 9.760653e-02 -5.817133e-03 2.385808e-01 9.027749e-02 2.453811e-04 -4.466445e-03
59             1.876752e-01 -5.593836e-03 2.329188e-01 9.745923e-02 -5.837322e-03 2.373629e-01 9.021595e-02 2.434857e-04 -4.444105e-03
60             1.874694e-01 -5.613908e-03 2.317162e-01 9.730909e-02 -5.855526e-03 2.361390e-01 9.016031e-02 2.416178e-04 -4.422739e-03
61             1.872671e-01 -5.631931e-03 2.305130e-01 9.715664e-02 -5.871726e-03 2.349154e-01 9.011044e-02 2.397944e-04 -4.402366e-03
62             1.870692e-01 -5.647657e-03 2.293172e-01 9.700322e-02 -5.885675e-03 2.337002e-01 9.006602e-02 2.380174e-04 -4.383002e-03
63             1.868789e-01 -5.660625e-03 2.281466e-01 9.685221e-02 -5.896916e-03 2.325112e-01 9.002665e-02 2.362910e-04 -4.364654e-03
64             1.867033e-01 -5.670331e-03 2.270409e-01 9.671146e-02 -5.904955e-03 2.313882e-01 8.999188e-02 2.346240e-04 -4.347311e-03
65             1.865501e-01 -5.676606e-03 2.260380e-01 9.658879e-02 -5.909623e-03 2.303690e-01 8.996132e-02 2.330173e-04 -4.330945e-03
