# Force       
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1              8.671592e+00 -1.339976e-01 2.825636e+00 8.396255e+00 -1.339043e-01 2.825327e+00 2.753366e-01 -9.327816e-05 3.088158e-04
2              1.112221e+01 3.619384e-02 3.866822e+00 1.086516e+01 3.633264e-02 3.870022e+00 2.570533e-01 -1.388071e-04 -3.200107e-03
3              1.041816e+01 1.478085e-01 3.685332e+00 1.017762e+01 1.478319e-01 3.692222e+00 2.405389e-01 -2.342508e-05 -6.889555e-03
4              7.871703e+00 2.179231e-01 2.722558e+00 7.642997e+00 2.178612e-01 2.732043e+00 2.287062e-01 6.191073e-05 -9.484890e-03
5              4.713355e+00 2.473432e-01 1.475436e+00 4.492102e+00 2.471064e-01 1.486014e+00 2.212528e-01 2.367545e-04 -1.057798e-02
6              1.836690e+00 2.432151e-01 3.293832e-01 1.618999e+00 2.428119e-01 3.396703e-01 2.176906e-01 4.032648e-04 -1.028703e-02
7              -2.432322e-01 2.167556e-01 -4.756658e-01 -4.602378e-01 2.163178e-01 -4.666463e-01 2.170057e-01 4.377924e-04 -9.019532e-03
8              -1.272049e+00 1.786428e-01 -8.156017e-01 -1.489901e+00 1.783002e-01 -8.082815e-01 2.178523e-01 3.425749e-04 -7.320191e-03
9              -1.487133e+00 1.379929e-01 -8.193602e-01 -1.706069e+00 1.377827e-01 -8.136742e-01 2.189355e-01 2.101997e-04 -5.686023e-03
10             -1.167902e+00 9.637127e-02 -6.075088e-01 -1.387223e+00 9.627690e-02 -6.030744e-01 2.193207e-01 9.437403e-05 -4.434389e-03
11             -5.556032e-01 5.381777e-02 -2.772897e-01 -7.741334e-01 5.377981e-02 -2.735713e-01 2.185302e-01 3.795766e-05 -3.718434e-03
12             1.285567e-01 1.570424e-02 7.115529e-02 -8.796512e-02 1.565666e-02 7.469073e-02 2.165219e-01 4.758366e-05 -3.535444e-03
13             7.162462e-01 -1.109120e-02 3.582005e-01 5.026491e-01 -1.119727e-02 3.619555e-01 2.135971e-01 1.060632e-04 -3.754983e-03
14             1.113865e+00 -2.164371e-02 5.378550e-01 9.036590e-01 -2.183621e-02 5.420466e-01 2.102064e-01 1.924933e-04 -4.191616e-03
15             1.297599e+00 -1.540639e-02 6.001926e-01 1.090821e+00 -1.568614e-02 6.048489e-01 2.067778e-01 2.797578e-04 -4.656294e-03
16             1.310865e+00 2.440610e-03 5.740262e-01 1.107246e+00 2.094317e-03 5.790337e-01 2.036194e-01 3.462928e-04 -5.007525e-03
17             1.226173e+00 2.661693e-02 4.956224e-01 1.025257e+00 2.623703e-02 5.007965e-01 2.009155e-01 3.799016e-04 -5.174105e-03
18             1.097125e+00 5.236382e-02 3.932726e-01 8.984073e-01 5.198809e-02 3.984235e-01 1.987182e-01 3.757384e-04 -5.150992e-03
19             9.671626e-01 7.439590e-02 2.941570e-01 7.701891e-01 7.405961e-02 2.991351e-01 1.969735e-01 3.362872e-04 -4.978125e-03
20             8.652908e-01 8.856252e-02 2.184409e-01 6.697248e-01 8.829280e-02 2.231601e-01 1.955660e-01 2.697142e-04 -4.719155e-03
21             8.038303e-01 9.295597e-02 1.757539e-01 6.094658e-01 9.276727e-02 1.801947e-01 1.943646e-01 1.887008e-04 -4.440780e-03
22             7.807029e-01 8.841516e-02 1.647669e-01 5.874515e-01 8.830764e-02 1.689616e-01 1.932514e-01 1.075258e-04 -4.194717e-03
23             7.846061e-01 7.750567e-02 1.766094e-01 5.924611e-01 7.746772e-02 1.806218e-01 1.921450e-01 3.795064e-05 -4.012372e-03
24             8.024149e-01 6.300928e-02 2.014702e-01 6.114134e-01 6.302169e-02 2.053715e-01 1.910015e-01 -1.241116e-05 -3.901314e-03
25             8.229472e-01 4.780635e-02 2.304549e-01 6.331341e-01 4.784731e-02 2.343060e-01 1.898131e-01 -4.096468e-05 -3.851088e-03
