# Force       
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1              6.336030e-01 -1.001224e-03 -2.889623e-03 5.325224e-01 -9.991281e-04 -2.885695e-03 1.010806e-01 -2.095717e-06 -3.928310e-06
2              7.183867e-01 -9.928950e-04 -2.700763e-03 6.193653e-01 -9.926678e-04 -2.715605e-03 9.902137e-02 -2.271431e-07 1.484218e-05
3              6.381845e-01 -7.977234e-04 -2.801965e-03 5.406899e-01 -7.983567e-04 -2.829353e-03 9.749460e-02 6.333202e-07 2.738830e-05
4              4.767365e-01 -5.517393e-04 -2.907171e-03 3.803848e-01 -5.521085e-04 -2.938422e-03 9.635171e-02 3.691983e-07 3.125038e-05
5              2.963769e-01 -2.688555e-04 -2.470110e-03 2.008535e-01 -2.680769e-04 -2.498381e-03 9.552338e-02 -7.786484e-07 2.827070e-05
6              1.416193e-01 1.721012e-05 -1.323478e-03 4.667473e-02 1.966344e-05 -1.345194e-03 9.494452e-02 -2.453315e-06 2.171630e-05
7              3.591417e-02 2.695161e-04 3.182945e-04 -5.862474e-02 2.736435e-04 3.036810e-04 9.453891e-02 -4.127443e-06 1.461349e-05
8              -1.570638e-02 4.298015e-04 1.930270e-03 -1.098775e-01 4.351202e-04 1.921065e-03 9.417112e-02 -5.318688e-06 9.205928e-06
9              -2.013174e-02 5.574504e-04 3.109995e-03 -1.139059e-01 5.633278e-04 3.103558e-03 9.377418e-02 -5.877365e-06 6.437912e-06
10             2.360217e-03 5.102546e-04 3.807855e-03 -9.094096e-02 5.162869e-04 3.801501e-03 9.330117e-02 -6.032247e-06 6.353849e-06
11             4.083383e-02 1.810163e-04 3.032372e-03 -5.190007e-02 1.869802e-04 3.024581e-03 9.273390e-02 -5.963893e-06 7.791422e-06
