# Force       
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1              4.954421e-01 7.029037e-04 1.036731e+00 4.204363e-01 7.000531e-04 1.036126e+00 7.500578e-02 2.850644e-06 6.049776e-04
2              5.764346e-01 3.734815e-04 1.334624e+00 5.040649e-01 3.667597e-04 1.334984e+00 7.236967e-02 6.721747e-06 -3.602094e-04
3              5.148782e-01 1.569493e-04 1.214945e+00 4.442554e-01 1.483282e-04 1.216228e+00 7.062286e-02 8.621112e-06 -1.282899e-03
4              3.816583e-01 1.577498e-04 8.617434e-01 3.123042e-01 1.489913e-04 8.637279e-01 6.935410e-02 8.758491e-06 -1.984541e-03
5              2.299657e-01 1.867063e-04 4.327749e-01 1.615511e-01 1.786769e-04 4.351586e-01 6.841464e-02 8.029425e-06 -2.383681e-03
6              9.804534e-02 1.923004e-04 4.500617e-02 3.033074e-02 1.850168e-04 4.748464e-02 6.771460e-02 7.283613e-06 -2.478472e-03
7              7.174502e-03 1.533249e-04 -2.275240e-01 -5.999900e-02 1.465688e-04 -2.251945e-01 6.717350e-02 6.756048e-06 -2.329508e-03
8              -3.669093e-02 6.960169e-05 -3.546581e-01 -1.034092e-01 6.329687e-05 -3.526264e-01 6.671827e-02 6.304820e-06 -2.031621e-03
9              -3.911862e-02 8.796940e-05 -3.484181e-01 -1.054142e-01 8.207803e-05 -3.467327e-01 6.629556e-02 5.891371e-06 -1.685439e-03
10             -1.490713e-02 -7.945119e-05 -2.487264e-01 -8.076953e-02 -8.493390e-05 -2.473513e-01 6.586240e-02 5.482710e-06 -1.375074e-03
11             2.255123e-02 -2.302777e-04 -1.068489e-01 -4.284905e-02 -2.354472e-04 -1.056936e-01 6.540029e-02 5.169456e-06 -1.155296e-03
12             6.076735e-02 -3.196407e-04 3.049704e-02 -4.139114e-03 -3.246158e-04 3.154626e-02 6.490646e-02 4.975098e-06 -1.049228e-03
13             9.135497e-02 -3.267422e-04 1.318686e-01 2.696504e-02 -3.316176e-04 1.329194e-01 6.438993e-02 4.875325e-06 -1.050813e-03
14             1.089126e-01 -2.843694e-04 1.784616e-01 4.504762e-02 -2.891760e-04 1.795974e-01 6.386496e-02 4.806561e-06 -1.135845e-03
15             1.160647e-01 -2.178620e-04 1.853955e-01 5.271962e-02 -2.225715e-04 1.866582e-01 6.334506e-02 4.709461e-06 -1.262642e-03
16             1.154575e-01 -1.410111e-04 1.645050e-01 5.260702e-02 -1.455973e-04 1.658962e-01 6.285045e-02 4.586214e-06 -1.391139e-03
17             1.096997e-01 -5.563683e-05 1.263719e-01 4.730881e-02 -6.013946e-05 1.278648e-01 6.239086e-02 4.502634e-06 -1.492833e-03
18             1.005822e-01 8.304659e-05 7.690529e-02 3.861517e-02 7.851545e-05 7.846135e-02 6.196704e-02 4.531138e-06 -1.556055e-03
19             9.153371e-02 1.569244e-04 3.672680e-02 2.996155e-02 1.522817e-04 3.830264e-02 6.157217e-02 4.642731e-06 -1.575843e-03
20             8.487560e-02 1.444176e-04 1.529298e-02 2.366997e-02 1.396567e-04 1.684854e-02 6.120563e-02 4.760974e-06 -1.555556e-03
21             8.032577e-02 1.087063e-04 7.212077e-03 1.946191e-02 1.038188e-04 8.721074e-03 6.086385e-02 4.887562e-06 -1.508996e-03
22             7.787483e-02 6.486672e-05 1.008915e-02 1.733706e-02 5.984439e-05 1.154062e-02 6.053777e-02 5.022335e-06 -1.451466e-03
23             7.710365e-02 2.379188e-05 2.022603e-02 1.688122e-02 1.864551e-05 2.162187e-02 6.022243e-02 5.146374e-06 -1.395836e-03
24             7.746999e-02 -6.704111e-06 3.361166e-02 1.755523e-02 -1.195175e-05 3.496229e-02 5.991476e-02 5.247639e-06 -1.350624e-03
25             7.840121e-02 -2.254732e-05 4.651929e-02 1.878820e-02 -2.785899e-05 4.783887e-02 5.961301e-02 5.311672e-06 -1.319580e-03
