# Force       
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1              1.244293e+00 3.315985e-02 -1.081787e-02 1.041815e+00 3.309071e-02 -1.081437e-02 2.024789e-01 6.913313e-05 -3.493939e-06
2              1.593220e+00 4.996577e-02 -1.183842e-02 1.387713e+00 4.990356e-02 -1.186392e-02 2.055065e-01 6.220865e-05 2.549199e-05
3              1.530044e+00 5.143328e-02 -9.879066e-03 1.321192e+00 5.138702e-02 -9.926818e-03 2.088521e-01 4.625634e-05 4.775212e-05
4              1.224529e+00 4.329705e-02 -6.349881e-03 1.012559e+00 4.327352e-02 -6.409721e-03 2.119696e-01 2.352805e-05 5.983981e-05
5              8.262595e-01 3.113737e-02 -2.435686e-03 6.114695e-01 3.114549e-02 -2.496296e-03 2.147900e-01 -8.126264e-06 6.061047e-05
6              4.533029e-01 1.905423e-02 8.465288e-04 2.359819e-01 1.909718e-02 7.943242e-04 2.173210e-01 -4.294590e-05 5.220467e-05
7              1.782638e-01 9.295844e-03 2.876516e-03 -4.128854e-02 9.367426e-03 2.837733e-03 2.195523e-01 -7.158124e-05 3.878302e-05
8              3.899978e-02 3.001981e-03 1.858257e-03 -1.824637e-01 3.088541e-03 1.833531e-03 2.214635e-01 -8.655989e-05 2.472536e-05
9              5.068771e-03 -1.652102e-04 3.786160e-04 -2.179704e-01 -8.037471e-05 3.654739e-04 2.230392e-01 -8.483551e-05 1.314213e-05
10             4.442824e-02 -8.577710e-04 -6.539166e-04 -1.798184e-01 -7.894824e-04 -6.601751e-04 2.242467e-01 -6.828861e-05 6.258524e-06
11             1.233818e-01 -8.429026e-05 -9.268491e-04 -1.016989e-01 -4.314593e-05 -9.316806e-04 2.250807e-01 -4.114433e-05 4.831511e-06
12             2.121496e-01 1.234914e-03 -4.622671e-04 -1.341852e-02 1.243486e-03 -4.703522e-04 2.255681e-01 -8.572297e-06 8.085101e-06
13             2.884843e-01 2.496012e-03 4.906242e-04 6.272461e-02 2.471896e-03 4.763765e-04 2.257597e-01 2.411596e-05 1.424770e-05
14             3.400442e-01 3.476900e-03 1.587547e-03 1.143264e-01 3.424102e-03 1.566292e-03 2.257178e-01 5.279825e-05 2.125536e-05
15             3.638151e-01 4.184973e-03 2.557316e-03 1.383116e-01 4.109907e-03 2.529984e-03 2.255035e-01 7.506677e-05 2.733118e-05
16             3.652580e-01 4.747981e-03 3.129136e-03 1.400897e-01 4.657766e-03 3.097823e-03 2.251683e-01 9.021473e-05 3.131338e-05
17             3.529887e-01 5.373800e-03 3.060298e-03 1.280926e-01 5.274546e-03 3.027555e-03 2.248961e-01 9.925422e-05 3.274341e-05
18             3.342605e-01 6.233863e-03 2.349017e-03 1.096855e-01 6.130009e-03 2.317128e-03 2.245750e-01 1.038540e-04 3.188955e-05
