# Force       
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1              6.225424e-01 2.425273e-02 1.682215e+00 5.218113e-01 2.421406e-02 1.681689e+00 1.007311e-01 3.866760e-05 5.265013e-04
2              7.745091e-01 2.826850e-02 2.250863e+00 6.767827e-01 2.826204e-02 2.252783e+00 9.772635e-02 6.456470e-06 -1.920130e-03
3              7.230411e-01 2.453464e-02 2.106218e+00 6.273885e-01 2.457367e-02 2.110576e+00 9.565261e-02 -3.903096e-05 -4.357218e-03
4              5.567956e-01 1.688632e-02 1.538655e+00 4.627847e-01 1.696413e-02 1.544783e+00 9.401092e-02 -7.780580e-05 -6.128145e-03
5              3.511046e-01 8.411537e-03 8.191894e-01 2.584329e-01 8.516242e-03 8.261790e-01 9.267168e-02 -1.047041e-04 -6.989610e-03
6              1.637679e-01 1.315143e-03 1.625257e-01 7.219374e-02 1.433553e-03 1.695099e-01 9.157414e-02 -1.184099e-04 -6.984252e-03
7              2.993970e-02 -3.239084e-03 -2.977934e-01 -6.071454e-02 -3.119746e-03 -2.914533e-01 9.065425e-02 -1.193378e-04 -6.340077e-03
8              -3.257449e-02 -4.763268e-03 -4.957214e-01 -1.224205e-01 -4.653937e-03 -4.903599e-01 8.984601e-02 -1.093307e-04 -5.361508e-03
9              -4.070216e-02 -4.184698e-03 -4.949431e-01 -1.297912e-01 -4.092339e-03 -4.905928e-01 8.908907e-02 -9.235916e-05 -4.350279e-03
10             -1.237243e-02 -2.415860e-03 -3.611892e-01 -1.006934e-01 -2.342831e-03 -3.576604e-01 8.832100e-02 -7.302844e-05 -3.528803e-03
11             3.526863e-02 -3.984126e-04 -1.580924e-01 -5.224145e-02 -3.434614e-04 -1.550783e-01 8.751008e-02 -5.495114e-05 -3.014117e-03
12             8.587893e-02 1.197072e-03 5.071422e-02 -7.761636e-04 1.237546e-03 5.353728e-02 8.665509e-02 -4.047398e-05 -2.823057e-03
13             1.274746e-01 2.076885e-03 2.182066e-01 4.170049e-02 2.107623e-03 2.211021e-01 8.577411e-02 -3.073730e-05 -2.895520e-03
14             1.536996e-01 2.268880e-03 3.195861e-01 6.880608e-02 2.294693e-03 3.227158e-01 8.489347e-02 -2.581305e-05 -3.129630e-03
15             1.633503e-01 2.012809e-03 3.513964e-01 7.931064e-02 2.037832e-03 3.548133e-01 8.403964e-02 -2.502261e-05 -3.416882e-03
16             1.604103e-01 1.569569e-03 3.320803e-01 7.717793e-02 1.596651e-03 3.357480e-01 8.323241e-02 -2.708192e-05 -3.667689e-03
17             1.498546e-01 1.146349e-03 2.811054e-01 6.736696e-02 1.176885e-03 2.849327e-01 8.248763e-02 -3.053597e-05 -3.827268e-03
18             1.359270e-01 9.539807e-04 2.169705e-01 5.411781e-02 9.881706e-04 2.208482e-01 8.180923e-02 -3.418998e-05 -3.877753e-03
19             1.225271e-01 1.050871e-03 1.572232e-01 4.133570e-02 1.087882e-03 1.610538e-01 8.119144e-02 -3.701092e-05 -3.830582e-03
20             1.122515e-01 1.364043e-03 1.136261e-01 3.162728e-02 1.402429e-03 1.173419e-01 8.062425e-02 -3.838541e-05 -3.715784e-03
21             1.061913e-01 1.744507e-03 9.098644e-02 2.609507e-02 1.782597e-03 9.455609e-02 8.009620e-02 -3.809010e-05 -3.569657e-03
22             1.040514e-01 2.046540e-03 8.728376e-02 2.445318e-02 2.082824e-03 9.070893e-02 7.959824e-02 -3.628417e-05 -3.425176e-03
23             1.045638e-01 2.233100e-03 9.594229e-02 2.544120e-02 2.266569e-03 9.924793e-02 7.912255e-02 -3.346972e-05 -3.305647e-03
24             1.066018e-01 2.254152e-03 1.115847e-01 2.793968e-02 2.284325e-03 1.148066e-01 7.866213e-02 -3.017315e-05 -3.221817e-03
25             1.091126e-01 2.083211e-03 1.288944e-01 3.089735e-02 2.110026e-03 1.320679e-01 7.821525e-02 -2.681565e-05 -3.173563e-03
26             1.112548e-01 1.761138e-03 1.434530e-01 3.347249e-02 1.784969e-03 1.466059e-01 7.778234e-02 -2.383045e-05 -3.152896e-03
27             1.125469e-01 1.371754e-03 1.526768e-01 3.518271e-02 1.393170e-03 1.558250e-01 7.736419e-02 -2.141625e-05 -3.148110e-03
28             1.128752e-01 1.006894e-03 1.560060e-01 3.591231e-02 1.026576e-03 1.591535e-01 7.696292e-02 -1.968163e-05 -3.147552e-03
29             1.124131e-01 7.269213e-04 1.545667e-01 3.583255e-02 7.454566e-04 1.577088e-01 7.658051e-02 -1.853531e-05 -3.142117e-03
30             1.114399e-01 5.440068e-04 1.500351e-01 3.522230e-02 5.618218e-04 1.531618e-01 7.621758e-02 -1.781501e-05 -3.126705e-03
31             1.102203e-01 4.622472e-04 1.439136e-01 3.434573e-02 4.796292e-04 1.470137e-01 7.587461e-02 -1.738202e-05 -3.100101e-03
32             1.090335e-01 4.799592e-04 1.376946e-01 3.346523e-02 4.970744e-04 1.407588e-01 7.556823e-02 -1.711518e-05 -3.064145e-03
33             1.080225e-01 5.577181e-04 1.326126e-01 3.274372e-02 5.745929e-04 1.356355e-01 7.527878e-02 -1.687483e-05 -3.022821e-03
34             1.072472e-01 6.609581e-04 1.290932e-01 3.224253e-02 6.775662e-04 1.320738e-01 7.500465e-02 -1.660807e-05 -2.980571e-03
