# Force       
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1              1.115918e-01 -3.873731e-03 1.338204e-03 8.151140e-02 -3.876926e-03 1.336953e-03 3.008041e-02 3.195361e-06 1.251731e-06
2              1.390167e-01 -4.624325e-03 2.006021e-03 1.116362e-01 -4.660924e-03 2.000254e-03 2.738047e-02 3.659965e-05 5.766834e-06
3              1.359013e-01 -4.340248e-03 2.119575e-03 1.104715e-01 -4.410998e-03 2.110337e-03 2.542979e-02 7.074944e-05 9.238643e-06
4              1.155067e-01 -3.537237e-03 1.748888e-03 9.176399e-02 -3.634528e-03 1.738664e-03 2.374268e-02 9.729045e-05 1.022395e-05
5              8.552910e-02 -2.202535e-03 8.952962e-04 6.314143e-02 -2.315922e-03 8.860187e-04 2.238767e-02 1.133870e-04 9.277498e-06
6              5.677854e-02 -7.945519e-04 1.920794e-05 3.550636e-02 -9.123550e-04 1.304775e-05 2.127218e-02 1.178032e-04 6.160185e-06
7              3.443183e-02 4.839015e-04 -6.853615e-04 1.409103e-02 3.702904e-04 -6.874040e-04 2.034081e-02 1.136111e-04 2.042463e-06
8              2.134924e-02 1.380245e-03 -1.115851e-03 1.784325e-03 1.276394e-03 -1.114240e-03 1.956492e-02 1.038514e-04 -1.611377e-06
9              1.526161e-02 1.970767e-03 -1.310326e-03 -3.648547e-03 1.877068e-03 -1.306555e-03 1.891016e-02 9.369941e-05 -3.770645e-06
10             1.444654e-02 2.209768e-03 -1.257790e-03 -3.904469e-03 2.124534e-03 -1.253236e-03 1.835101e-02 8.523356e-05 -4.553568e-06
11             1.698694e-02 2.139077e-03 -9.993669e-04 -8.757552e-04 2.058936e-03 -9.950293e-04 1.786269e-02 8.014070e-05 -4.337616e-06
12             2.111226e-02 1.803685e-03 -6.045807e-04 3.687653e-03 1.725142e-03 -6.009754e-04 1.742461e-02 7.854289e-05 -3.605350e-06
13             2.538780e-02 1.282201e-03 -1.611613e-04 8.362102e-03 1.202643e-03 -1.583260e-04 1.702570e-02 7.955767e-05 -2.835290e-06
14             2.887265e-02 6.765948e-04 2.434222e-04 1.221522e-02 5.948583e-04 2.456769e-04 1.665742e-02 8.173652e-05 -2.254734e-06
15             3.110536e-02 9.697681e-05 5.391884e-04 1.478900e-02 1.303195e-05 5.412083e-04 1.631635e-02 8.394486e-05 -2.019888e-06
16             3.202764e-02 -3.579563e-04 6.868256e-04 1.602893e-02 -4.434416e-04 6.890038e-04 1.599871e-02 8.548526e-05 -2.178238e-06
17             3.191609e-02 -6.488609e-04 6.862128e-04 1.621240e-02 -7.346670e-04 6.888073e-04 1.570369e-02 8.580610e-05 -2.594470e-06
18             3.108680e-02 -7.791398e-04 5.629833e-04 1.565768e-02 -8.641963e-04 5.661314e-04 1.542912e-02 8.505646e-05 -3.148085e-06
19             2.982847e-02 -7.637465e-04 3.588780e-04 1.465552e-02 -8.470581e-04 3.625229e-04 1.517295e-02 8.331157e-05 -3.644891e-06
20             2.839976e-02 -6.358662e-04 1.257866e-04 1.346553e-02 -7.168212e-04 1.298622e-04 1.493424e-02 8.095503e-05 -4.075657e-06
21             2.699972e-02 -4.412561e-04 -8.628381e-05 1.228898e-02 -5.196630e-04 -8.203037e-05 1.471074e-02 7.840694e-05 -4.253442e-06
22             2.576470e-02 -2.270051e-04 -2.392955e-04 1.126380e-02 -3.030053e-04 -2.350471e-04 1.450089e-02 7.600027e-05 -4.248458e-06
23             2.477858e-02 -3.659304e-05 -3.114685e-04 1.047470e-02 -1.106468e-04 -3.074097e-04 1.430387e-02 7.405374e-05 -4.058782e-06
24             2.406271e-02 9.700740e-05 -3.022378e-04 9.943572e-03 2.451765e-05 -2.983207e-04 1.411914e-02 7.248974e-05 -3.917063e-06
25             2.359151e-02 1.608084e-04 -2.289239e-04 9.645363e-03 8.962831e-05 -2.250831e-04 1.394615e-02 7.118013e-05 -3.840740e-06
26             2.331888e-02 1.584181e-04 -1.184228e-04 9.534590e-03 8.833499e-05 -1.145807e-04 1.378429e-02 7.008310e-05 -3.842168e-06
27             2.319087e-02 1.040176e-04 5.983066e-07 9.557835e-03 3.495719e-05 4.568998e-06 1.363304e-02 6.906043e-05 -3.970692e-06
28             2.315289e-02 1.734604e-05 1.038906e-04 9.660870e-03 -5.060912e-05 1.080472e-04 1.349202e-02 6.795516e-05 -4.156578e-06
29             2.315789e-02 -8.145026e-05 1.755832e-04 9.796101e-03 -1.481684e-04 1.799972e-04 1.336179e-02 6.671813e-05 -4.414022e-06
30             2.317098e-02 -1.771782e-04 2.094963e-04 9.928625e-03 -2.425451e-04 2.142088e-04 1.324235e-02 6.536695e-05 -4.712519e-06
31             2.316633e-02 -2.586940e-04 2.061092e-04 1.003271e-02 -3.226086e-04 2.110932e-04 1.313361e-02 6.391457e-05 -4.983956e-06
32             2.312278e-02 -3.143706e-04 1.724155e-04 1.008747e-02 -3.768169e-04 1.775998e-04 1.303531e-02 6.244633e-05 -5.184384e-06
33             2.303508e-02 -3.401738e-04 1.216311e-04 1.008834e-02 -4.011808e-04 1.269524e-04 1.294674e-02 6.100703e-05 -5.321349e-06
34             2.291242e-02 -3.398044e-04 6.863112e-05 1.004496e-02 -3.994472e-04 7.400962e-05 1.286746e-02 5.964281e-05 -5.378497e-06
35             2.277066e-02 -3.226623e-04 2.374886e-05 9.973717e-03 -3.810571e-04 2.914226e-05 1.279694e-02 5.839474e-05 -5.393393e-06
36             2.262279e-02 -2.967462e-04 -7.933257e-06 9.888221e-03 -3.540230e-04 -2.593781e-06 1.273457e-02 5.727684e-05 -5.339476e-06
37             2.248096e-02 -2.678550e-04 -2.389827e-05 9.801183e-03 -3.241384e-04 -1.859170e-05 1.267978e-02 5.628345e-05 -5.306568e-06
38             2.235374e-02 -2.397940e-04 -2.506237e-05 9.721718e-03 -2.951826e-04 -1.988152e-05 1.263202e-02 5.538856e-05 -5.180859e-06
39             2.224703e-02 -2.147298e-04 -1.390205e-05 9.656372e-03 -2.693198e-04 -8.744333e-06 1.259066e-02 5.458997e-05 -5.157715e-06
40             2.216640e-02 -1.949756e-04 4.848739e-06 9.611390e-03 -2.488518e-04 9.876038e-06 1.255501e-02 5.387620e-05 -5.027299e-06
41             2.211240e-02 -1.810316e-04 2.610655e-05 9.587854e-03 -2.342595e-04 3.119112e-05 1.252455e-02 5.322787e-05 -5.084571e-06
42             2.208000e-02 -1.716937e-04 4.430395e-05 9.581346e-03 -2.243532e-04 4.930605e-05 1.249866e-02 5.265949e-05 -5.002093e-06
43             2.206167e-02 -1.648652e-04 5.711153e-05 9.584995e-03 -2.170150e-04 6.219215e-05 1.247668e-02 5.214974e-05 -5.080614e-06
44             2.205087e-02 -1.583869e-04 6.365974e-05 9.592704e-03 -2.100831e-04 6.868600e-05 1.245817e-02 5.169620e-05 -5.026256e-06
45             2.204319e-02 -1.512820e-04 6.482502e-05 9.600467e-03 -2.025764e-04 6.994418e-05 1.244272e-02 5.129436e-05 -5.119161e-06
46             2.203518e-02 -1.431909e-04 6.095839e-05 9.605301e-03 -1.941392e-04 6.601229e-05 1.242988e-02 5.094828e-05 -5.053895e-06
47             2.202490e-02 -1.344487e-04 5.414942e-05 9.605664e-03 -1.850968e-04 5.928209e-05 1.241923e-02 5.064816e-05 -5.132666e-06
48             2.201346e-02 -1.254320e-04 4.574604e-05 9.601345e-03 -1.758553e-04 5.081329e-05 1.241212e-02 5.042328e-05 -5.067251e-06
49             2.200021e-02 -1.170599e-04 3.824604e-05 9.594011e-03 -1.672876e-04 4.338398e-05 1.240620e-02 5.022770e-05 -5.137935e-06
50             2.198664e-02 -1.098702e-04 3.224019e-05 9.585341e-03 -1.599306e-04 3.728871e-05 1.240130e-02 5.006038e-05 -5.048517e-06
51             2.197361e-02 -1.040455e-04 2.882775e-05 9.576352e-03 -1.539566e-04 3.393129e-05 1.239726e-02 4.991108e-05 -5.103540e-06
52             2.196182e-02 -9.953878e-05 2.744933e-05 9.567883e-03 -1.493175e-04 3.245739e-05 1.239393e-02 4.977872e-05 -5.008056e-06
53             2.195191e-02 -9.622686e-05 2.840096e-05 9.560689e-03 -1.458844e-04 3.346319e-05 1.239122e-02 4.965751e-05 -5.062226e-06
54             2.194413e-02 -9.384347e-05 3.057884e-05 9.555091e-03 -1.433947e-04 3.554299e-05 1.238904e-02 4.955124e-05 -4.964147e-06
55             2.193860e-02 -9.207938e-05 3.394649e-05 9.551305e-03 -1.415349e-04 3.896934e-05 1.238730e-02 4.945548e-05 -5.022853e-06
56             2.193522e-02 -9.056342e-05 3.710835e-05 9.549291e-03 -1.399371e-04 4.204044e-05 1.238593e-02 4.937369e-05 -4.932092e-06
57             2.193354e-02 -8.905649e-05 4.012236e-05 9.548681e-03 -1.383573e-04 4.512175e-05 1.238486e-02 4.930085e-05 -4.999389e-06
58             2.193295e-02 -8.742787e-05 4.197303e-05 9.548911e-03 -1.366685e-04 4.688618e-05 1.238404e-02 4.924066e-05 -4.913153e-06
59             2.193290e-02 -8.567997e-05 4.328075e-05 9.549473e-03 -1.348692e-04 4.826762e-05 1.238343e-02 4.918925e-05 -4.986877e-06
60             2.193298e-02 -8.382774e-05 4.348150e-05 9.550004e-03 -1.329767e-04 4.838619e-05 1.238297e-02 4.914898e-05 -4.904687e-06
61             2.193296e-02 -8.193764e-05 4.335884e-05 9.550314e-03 -1.310533e-04 4.834060e-05 1.238264e-02 4.911562e-05 -4.981761e-06
62             2.193271e-02 -8.008865e-05 4.245601e-05 9.550291e-03 -1.291806e-04 4.735611e-05 1.238242e-02 4.909194e-05 -4.900098e-06
63             2.193221e-02 -7.837203e-05 4.162741e-05 9.549933e-03 -1.274457e-04 4.660590e-05 1.238228e-02 4.907366e-05 -4.978488e-06
64             2.193119e-02 -7.697188e-05 4.038272e-05 9.549057e-03 -1.260343e-04 4.527940e-05 1.238213e-02 4.906245e-05 -4.896672e-06
65             2.192992e-02 -7.587306e-05 3.957818e-05 9.547876e-03 -1.249276e-04 4.455360e-05 1.238204e-02 4.905453e-05 -4.975412e-06
66             2.192863e-02 -7.503317e-05 3.865066e-05 9.546626e-03 -1.240855e-04 4.354368e-05 1.238200e-02 4.905228e-05 -4.893018e-06
67             2.192775e-02 -7.436121e-05 3.836856e-05 9.545701e-03 -1.234126e-04 4.334047e-05 1.238205e-02 4.905134e-05 -4.971912e-06
68             2.192730e-02 -7.381947e-05 3.802176e-05 9.545184e-03 -1.228733e-04 4.291101e-05 1.238211e-02 4.905383e-05 -4.889247e-06
69             2.192727e-02 -7.337627e-05 3.822566e-05 9.545073e-03 -1.224302e-04 4.319426e-05 1.238219e-02 4.905398e-05 -4.968602e-06
70             2.192744e-02 -7.304745e-05 3.823531e-05 9.545151e-03 -1.221055e-04 4.312075e-05 1.238228e-02 4.905808e-05 -4.885441e-06
71             2.192769e-02 -7.282729e-05 3.867018e-05 9.545315e-03 -1.218880e-04 4.363531e-05 1.238238e-02 4.906071e-05 -4.965128e-06
72             2.192786e-02 -7.266713e-05 3.878750e-05 9.545408e-03 -1.217321e-04 4.366945e-05 1.238245e-02 4.906493e-05 -4.881947e-06
73             2.192803e-02 -7.254353e-05 3.923957e-05 9.545509e-03 -1.216102e-04 4.420186e-05 1.238252e-02 4.906669e-05 -4.962287e-06
74             2.192825e-02 -7.241740e-05 3.930671e-05 9.545654e-03 -1.214876e-04 4.418672e-05 1.238260e-02 4.907021e-05 -4.880012e-06
