# Force       
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1              2.121960e-01 2.874313e-02 -4.882900e-05 1.712578e-01 2.868187e-02 -4.828517e-05 4.093822e-02 6.126027e-05 -5.438240e-07
2              2.427144e-01 3.495556e-02 -6.375267e-05 2.056602e-01 3.493642e-02 -5.908443e-05 3.705419e-02 1.913965e-05 -4.668234e-06
3              2.203609e-01 3.184116e-02 -3.847393e-04 1.858998e-01 3.184719e-02 -3.766389e-04 3.446114e-02 -6.036333e-06 -8.100363e-06
4              1.677436e-01 2.287086e-02 -7.387985e-04 1.352450e-01 2.289367e-02 -7.289100e-04 3.249860e-02 -2.280726e-05 -9.888545e-06
5              1.082847e-01 1.247144e-02 -9.434911e-04 7.725021e-02 1.250686e-02 -9.344597e-04 3.103450e-02 -3.541482e-05 -9.031396e-06
6              5.614615e-02 3.589852e-03 -9.031361e-04 2.623551e-02 3.635256e-03 -8.972289e-04 2.991064e-02 -4.540377e-05 -5.907160e-06
7              1.950254e-02 -2.168184e-03 -6.246953e-04 -9.526888e-03 -2.115907e-03 -6.218862e-04 2.902943e-02 -5.227667e-05 -2.809160e-06
8              5.875531e-04 -4.592075e-03 -2.126688e-04 -2.773481e-02 -4.536425e-03 -2.130966e-04 2.832236e-02 -5.564940e-05 4.277814e-07
9              -2.761994e-03 -4.466801e-03 9.996704e-05 -3.049907e-02 -4.412484e-03 9.774560e-05 2.773707e-02 -5.431686e-05 2.221442e-06
10             2.665475e-03 -2.822248e-03 4.888037e-04 -2.456435e-02 -2.773126e-03 4.846991e-04 2.722983e-02 -4.912156e-05 4.104631e-06
11             1.335137e-02 -4.674724e-04 7.825755e-04 -1.342323e-02 -4.266664e-04 7.780351e-04 2.677460e-02 -4.080601e-05 4.540479e-06
12             2.666438e-02 1.919524e-03 7.221473e-04 3.006456e-04 1.948518e-03 7.184284e-04 2.636373e-02 -2.899392e-05 3.718893e-06
13             3.741001e-02 3.489489e-03 4.764573e-04 1.142695e-02 3.506426e-03 4.742744e-04 2.598306e-02 -1.693766e-05 2.182922e-06
14             4.336581e-02 4.095166e-03 2.681293e-04 1.773974e-02 4.103958e-03 2.673657e-04 2.562608e-02 -8.791325e-06 7.636733e-07
15             4.574636e-02 3.970955e-03 -1.447480e-06 2.045432e-02 3.975248e-03 -9.832966e-07 2.529203e-02 -4.292658e-06 -4.641838e-07
16             4.542216e-02 3.391178e-03 -2.704944e-04 2.043542e-02 3.394470e-03 -2.692774e-04 2.498674e-02 -3.292300e-06 -1.217084e-06
17             4.331519e-02 2.579992e-03 -5.001217e-04 1.860410e-02 2.585202e-03 -4.988801e-04 2.471109e-02 -5.209942e-06 -1.241563e-06
18             4.033991e-02 1.796209e-03 -6.357477e-04 1.587748e-02 1.805082e-03 -6.344141e-04 2.446243e-02 -8.873096e-06 -1.333644e-06
19             3.733089e-02 1.224992e-03 -6.559384e-04 1.309426e-02 1.238101e-03 -6.551003e-04 2.423663e-02 -1.310885e-05 -8.381232e-07
20             3.485478e-02 9.403600e-04 -5.757525e-04 1.082485e-02 9.569874e-04 -5.752682e-04 2.402993e-02 -1.662738e-05 -4.842688e-07
21             3.316559e-02 9.154497e-04 -4.331770e-04 9.327472e-03 9.341753e-04 -4.332080e-04 2.383812e-02 -1.872562e-05 3.096969e-08
22             3.221676e-02 1.061793e-03 -2.681669e-04 8.559719e-03 1.080868e-03 -2.685856e-04 2.365705e-02 -1.907417e-05 4.186064e-07
23             3.180536e-02 1.294088e-03 -1.050590e-04 8.321475e-03 1.311727e-03 -1.056901e-04 2.348388e-02 -1.763906e-05 6.310913e-07
24             3.173695e-02 1.528763e-03 2.719900e-05 8.420716e-03 1.543407e-03 2.660071e-05 2.331623e-02 -1.464365e-05 5.982910e-07
25             3.181137e-02 1.696727e-03 1.059066e-04 8.658077e-03 1.707205e-03 1.054170e-04 2.315329e-02 -1.047751e-05 4.896292e-07
26             3.186359e-02 1.766529e-03 1.256523e-04 8.868575e-03 1.772108e-03 1.253189e-04 2.299502e-02 -5.578860e-06 3.333808e-07
27             3.179663e-02 1.745167e-03 9.707400e-05 8.955496e-03 1.745498e-03 9.691799e-05 2.284113e-02 -3.317551e-07 1.560079e-07
28             3.158881e-02 1.667353e-03 4.041112e-05 8.897026e-03 1.662391e-03 4.041870e-05 2.269179e-02 4.962320e-06 -7.583209e-09
29             3.127387e-02 1.566417e-03 -2.890422e-05 8.726473e-03 1.556272e-03 -2.874638e-05 2.254739e-02 1.014455e-05 -1.578361e-07
30             3.088849e-02 1.456294e-03 -1.046633e-04 8.480509e-03 1.441183e-03 -1.044008e-04 2.240798e-02 1.511129e-05 -2.625677e-07
31             3.047371e-02 1.358199e-03 -1.742996e-04 8.200333e-03 1.338358e-03 -1.739730e-04 2.227338e-02 1.984089e-05 -3.266167e-07
32             3.007335e-02 1.290462e-03 -2.246163e-04 7.929771e-03 1.266085e-03 -2.242538e-04 2.214358e-02 2.437737e-05 -3.624428e-07
33             2.971842e-02 1.258367e-03 -2.489236e-04 7.700191e-03 1.229601e-03 -2.485412e-04 2.201823e-02 2.876595e-05 -3.824006e-07
34             2.942186e-02 1.255377e-03 -2.478940e-04 7.525003e-03 1.222319e-03 -2.475035e-04 2.189686e-02 3.305753e-05 -3.905207e-07
35             2.918091e-02 1.268683e-03 -2.271415e-04 7.401702e-03 1.231392e-03 -2.267502e-04 2.177920e-02 3.729145e-05 -3.912889e-07
36             2.898364e-02 1.285064e-03 -1.938496e-04 7.318644e-03 1.243582e-03 -1.934550e-04 2.166500e-02 4.148206e-05 -3.945805e-07
37             2.881635e-02 1.294009e-03 -1.552418e-04 7.262381e-03 1.248397e-03 -1.548341e-04 2.155397e-02 4.561132e-05 -4.076260e-07
38             2.866709e-02 1.288848e-03 -1.182978e-04 7.221219e-03 1.239206e-03 -1.178749e-04 2.144587e-02 4.964207e-05 -4.229376e-07
39             2.852689e-02 1.267385e-03 -8.866329e-05 7.186396e-03 1.213859e-03 -8.822790e-05 2.134049e-02 5.352643e-05 -4.353936e-07
40             2.839013e-02 1.231565e-03 -6.953979e-05 7.152429e-03 1.174347e-03 -6.908951e-05 2.123770e-02 5.721792e-05 -4.502805e-07
41             2.825414e-02 1.185963e-03 -6.140843e-05 7.116750e-03 1.125280e-03 -6.094089e-05 2.113739e-02 6.068320e-05 -4.675380e-07
42             2.811840e-02 1.135722e-03 -6.264744e-05 7.078860e-03 1.071814e-03 -6.216653e-05 2.103954e-02 6.390882e-05 -4.809159e-07
43             2.798350e-02 1.085134e-03 -7.058993e-05 7.039425e-03 1.018240e-03 -7.009430e-05 2.094408e-02 6.689429e-05 -4.956260e-07
44             2.785044e-02 1.037373e-03 -8.227258e-05 6.999508e-03 9.677242e-04 -8.176372e-05 2.085093e-02 6.964907e-05 -5.088534e-07
45             2.772013e-02 9.943960e-04 -9.490040e-05 6.960058e-03 9.222035e-04 -9.437862e-05 2.076008e-02 7.219254e-05 -5.217801e-07
46             2.759309e-02 9.571861e-04 -1.060907e-04 6.921616e-03 8.826347e-04 -1.055600e-04 2.067148e-02 7.455138e-05 -5.307675e-07
