# Force       
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1              1.655784e+00 1.237168e-01 4.829877e+00 1.524803e+00 1.235795e-01 4.829009e+00 1.309805e-01 1.372398e-04 8.680255e-04
2              2.112924e+00 1.583890e-01 6.473206e+00 1.987965e+00 1.583919e-01 6.479338e+00 1.249589e-01 -2.946697e-06 -6.132115e-03
3              1.975370e+00 1.447800e-01 6.068243e+00 1.854741e+00 1.449351e-01 6.081325e+00 1.206294e-01 -1.551032e-04 -1.308207e-02
4              1.501871e+00 1.052368e-01 4.449284e+00 1.384468e+00 1.055063e-01 4.467263e+00 1.174024e-01 -2.695232e-04 -1.797852e-02
5              9.093770e-01 5.743772e-02 2.389018e+00 7.941998e-01 5.777054e-02 2.409183e+00 1.151772e-01 -3.328269e-04 -2.016515e-02
6              3.652563e-01 1.472174e-02 5.002937e-01 2.514882e-01 1.507159e-02 5.201413e-01 1.137681e-01 -3.498483e-04 -1.984763e-02
7              -2.652287e-02 -1.470420e-02 -8.312475e-01 -1.394652e-01 -1.436596e-02 -8.134919e-01 1.129423e-01 -3.382390e-04 -1.775560e-02
8              -2.106889e-01 -2.714756e-02 -1.401479e+00 -3.231264e-01 -2.683493e-02 -1.386664e+00 1.124375e-01 -3.126276e-04 -1.481503e-02
9              -2.381384e-01 -2.687344e-02 -1.404938e+00 -3.501702e-01 -2.659043e-02 -1.393046e+00 1.120318e-01 -2.830134e-04 -1.189214e-02
10             -1.613791e-01 -1.804993e-02 -1.032266e+00 -2.729150e-01 -1.779656e-02 -1.022679e+00 1.115359e-01 -2.533696e-04 -9.586752e-03
11             -2.612999e-02 -4.692446e-03 -4.532005e-01 -1.369843e-01 -4.464426e-03 -4.450043e-01 1.108543e-01 -2.280196e-04 -8.196190e-03
12             1.212013e-01 8.927217e-03 1.525861e-01 1.124241e-02 9.133160e-03 1.603248e-01 1.099589e-01 -2.059432e-04 -7.738695e-03
13             2.453728e-01 1.952975e-02 6.480635e-01 1.364695e-01 1.971480e-02 6.560789e-01 1.089033e-01 -1.850491e-04 -8.015449e-03
14             3.266579e-01 2.535633e-02 9.574004e-01 2.188810e-01 2.552356e-02 9.661236e-01 1.077768e-01 -1.672307e-04 -8.723226e-03
15             3.599144e-01 2.622460e-02 1.064282e+00 2.532475e-01 2.638112e-02 1.073833e+00 1.066670e-01 -1.565224e-04 -9.550986e-03
16             3.552975e-01 2.353078e-02 1.016838e+00 2.496641e-01 2.368031e-02 1.027087e+00 1.056334e-01 -1.495315e-04 -1.024858e-02
17             3.280069e-01 1.855135e-02 8.768635e-01 2.232912e-01 1.869662e-02 8.875328e-01 1.047157e-01 -1.452701e-04 -1.066938e-02
18             2.901377e-01 1.274246e-02 6.959281e-01 1.862131e-01 1.288487e-02 7.067034e-01 1.039246e-01 -1.424045e-04 -1.077536e-02
19             2.529551e-01 7.546187e-03 5.233197e-01 1.497068e-01 7.686438e-03 5.339277e-01 1.032483e-01 -1.402504e-04 -1.060798e-02
20             2.242613e-01 3.951661e-03 3.934084e-01 1.216006e-01 4.090308e-03 4.036681e-01 1.026608e-01 -1.386473e-04 -1.025977e-02
21             2.075971e-01 2.336688e-03 3.217552e-01 1.054645e-01 2.474108e-03 3.315894e-01 1.021325e-01 -1.374199e-04 -9.834176e-03
22             2.024461e-01 2.445439e-03 3.052884e-01 1.008089e-01 2.582550e-03 3.147135e-01 1.016372e-01 -1.371112e-04 -9.425133e-03
23             2.050923e-01 3.666673e-03 3.260432e-01 1.039353e-01 3.804569e-03 3.351376e-01 1.011571e-01 -1.378963e-04 -9.094373e-03
24             2.118956e-01 5.449028e-03 3.673638e-01 1.112143e-01 5.588481e-03 3.762337e-01 1.006813e-01 -1.394529e-04 -8.869834e-03
25             2.197240e-01 7.209542e-03 4.144905e-01 1.195173e-01 7.351117e-03 4.232375e-01 1.002067e-01 -1.415748e-04 -8.747023e-03
26             2.261241e-01 8.464305e-03 4.552051e-01 1.263870e-01 8.608116e-03 4.639065e-01 9.973709e-02 -1.438111e-04 -8.701362e-03
27             2.298700e-01 8.981146e-03 4.822770e-01 1.305671e-01 9.126962e-03 4.909759e-01 9.930293e-02 -1.458154e-04 -8.698904e-03
28             2.306356e-01 8.735726e-03 4.936305e-01 1.317479e-01 8.883246e-03 5.023389e-01 9.888769e-02 -1.475199e-04 -8.708393e-03
29             2.290052e-01 7.904675e-03 4.918734e-01 1.305100e-01 8.053502e-03 5.005783e-01 9.849524e-02 -1.488270e-04 -8.704911e-03
30             2.258807e-01 6.687923e-03 4.815234e-01 1.277532e-01 6.837729e-03 4.901980e-01 9.812743e-02 -1.498062e-04 -8.674564e-03
31             2.220920e-01 5.284681e-03 4.665065e-01 1.243074e-01 5.435378e-03 4.751209e-01 9.778465e-02 -1.506965e-04 -8.614371e-03
32             2.183955e-01 3.925327e-03 4.505072e-01 1.209301e-01 4.077104e-03 4.590366e-01 9.746538e-02 -1.517768e-04 -8.529304e-03
