# Force       
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1              7.390478e-01 6.414464e-02 1.085628e-03 6.463683e-01 6.409914e-02 1.083867e-03 9.267948e-02 4.550038e-05 1.760291e-06
2              9.251619e-01 8.384198e-02 8.166583e-04 8.381662e-01 8.384172e-02 8.231677e-04 8.699574e-02 2.553802e-07 -6.509388e-06
3              8.632903e-01 7.710026e-02 -8.132681e-04 7.802148e-01 7.717068e-02 -8.008263e-04 8.307545e-02 -7.041385e-05 -1.244177e-05
4              6.544986e-01 5.536662e-02 -1.297082e-03 5.743466e-01 5.548964e-02 -1.281712e-03 8.015197e-02 -1.230168e-04 -1.537062e-05
5              3.983484e-01 2.911686e-02 -1.387013e-03 3.204134e-01 2.927069e-02 -1.371959e-03 7.793499e-02 -1.538279e-04 -1.505421e-05
6              1.654805e-01 5.297230e-03 -9.759419e-04 8.921915e-02 5.461548e-03 -9.634347e-04 7.626138e-02 -1.643176e-04 -1.250712e-05
7              -1.159419e-03 -1.166560e-02 -1.580879e-04 -7.614301e-02 -1.150530e-02 -1.495878e-04 7.498359e-02 -1.602977e-04 -8.500051e-06
8              -8.577656e-02 -2.004873e-02 8.503628e-04 -1.597345e-01 -1.990089e-02 8.545851e-04 7.395796e-02 -1.478351e-04 -4.222297e-06
9              -9.351402e-02 -2.045029e-02 1.836894e-03 -1.665806e-01 -2.031831e-02 1.837571e-03 7.306663e-02 -1.319807e-04 -6.767563e-07
10             -5.707763e-02 -1.605620e-02 2.778099e-03 -1.292830e-01 -1.593883e-02 2.776678e-03 7.220541e-02 -1.173726e-04 1.421020e-06
11             2.311781e-03 -9.081077e-03 3.233858e-03 -6.900427e-02 -8.975138e-03 3.231987e-03 7.131605e-02 -1.059392e-04 1.871235e-06
12             6.472120e-02 -1.687246e-03 2.946137e-03 -5.669010e-03 -1.589045e-03 2.945233e-03 7.039021e-02 -9.820098e-05 9.041938e-07
13             1.157530e-01 4.527098e-03 1.932964e-03 4.630228e-02 4.620846e-03 1.933969e-03 6.945073e-02 -9.374749e-05 -1.005762e-06
14             1.479340e-01 8.666046e-03 4.572526e-04 7.940429e-02 8.757745e-03 4.605292e-04 6.852973e-02 -9.169925e-05 -3.276518e-06
15             1.598802e-01 1.047924e-02 -9.942500e-04 9.221978e-02 1.057038e-02 -9.889614e-04 6.766044e-02 -9.114454e-05 -5.288633e-06
16             1.564432e-01 1.045793e-02 -2.110478e-03 8.957424e-02 1.054912e-02 -2.103790e-03 6.686895e-02 -9.118894e-05 -6.688357e-06
17             1.439253e-01 9.187504e-03 -2.926815e-03 7.775474e-02 9.278556e-03 -2.919412e-03 6.617054e-02 -9.105228e-05 -7.403167e-06
18             1.274681e-01 7.226012e-03 -3.205114e-03 6.190438e-02 7.316603e-03 -3.197636e-03 6.556367e-02 -9.059071e-05 -7.478205e-06
