# Force       
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1              1.475114e+00 8.235558e-02 2.506924e+00 1.334713e+00 8.232295e-02 2.506479e+00 1.404014e-01 3.263181e-05 4.447050e-04
2              1.905728e+00 1.125943e-01 3.377883e+00 1.771074e+00 1.126104e-01 3.380938e+00 1.346538e-01 -1.610824e-05 -3.055370e-03
3              1.795976e+00 1.057968e-01 3.175072e+00 1.665266e+00 1.058932e-01 3.181663e+00 1.307100e-01 -9.633574e-05 -6.590364e-03
4              1.374166e+00 7.803189e-02 2.332500e+00 1.246382e+00 7.818633e-02 2.341573e+00 1.277838e-01 -1.544387e-04 -9.072606e-03
5              8.382313e-01 4.297178e-02 1.252676e+00 7.125834e-01 4.315678e-02 1.262829e+00 1.256478e-01 -1.850038e-04 -1.015344e-02
6              3.424909e-01 1.133568e-02 2.590680e-01 2.183398e-01 1.152896e-02 2.690120e-01 1.241511e-01 -1.932722e-04 -9.943937e-03
7              -1.750052e-02 -1.059400e-02 -4.433933e-01 -1.406068e-01 -1.040735e-02 -4.345637e-01 1.231063e-01 -1.866479e-04 -8.829568e-03
8              -2.052650e-01 -2.088034e-02 -7.757652e-01 -3.275708e-01 -2.070946e-02 -7.684689e-01 1.223058e-01 -1.708841e-04 -7.296226e-03
9              -2.279886e-01 -2.164483e-02 -7.660304e-01 -3.495646e-01 -2.149416e-02 -7.602398e-01 1.215759e-01 -1.506655e-04 -5.790535e-03
10             -1.551297e-01 -1.638124e-02 -5.576224e-01 -2.759010e-01 -1.625103e-02 -5.529884e-01 1.207713e-01 -1.302048e-04 -4.633997e-03
11             -3.133537e-02 -8.062008e-03 -2.452568e-01 -1.511408e-01 -7.950330e-03 -2.412821e-01 1.198054e-01 -1.116781e-04 -3.974643e-03
12             1.013112e-01 5.854701e-04 7.611031e-02 -1.736595e-02 6.815607e-04 7.991857e-02 1.186772e-01 -9.609061e-05 -3.808257e-03
13             2.117125e-01 7.618566e-03 3.354225e-01 9.427480e-02 7.702158e-03 3.394410e-01 1.174377e-01 -8.359196e-05 -4.018468e-03
14             2.831354e-01 1.206588e-02 4.943138e-01 1.669730e-01 1.213997e-02 4.987483e-01 1.161624e-01 -7.409004e-05 -4.434547e-03
