Metric,Frequency_Hz,Mode1,Mode2,p_value,Result
Speed_cm_s,0.6,anguilliform,subcarangiform,0.164405385422534,Insignificant
Speed_cm_s,0.6,anguilliform,carangiform,0.109186305021808,Insignificant
Speed_cm_s,0.6,anguilliform,thunniform,0.907903722174982,Insignificant
Speed_cm_s,0.6,anguilliform,ostraciiform,0.107246161333889,Insignificant
Speed_cm_s,0.6,subcarangiform,carangiform,0.00165181784542774,Significant
Speed_cm_s,0.6,subcarangiform,thunniform,0.0387428711883469,Insignificant
Speed_cm_s,0.6,subcarangiform,ostraciiform,0.00276343579667668,Significant
Speed_cm_s,0.6,carangiform,thunniform,0.0174839884035486,Insignificant
Speed_cm_s,0.6,carangiform,ostraciiform,0.83441272522165,Insignificant
Speed_cm_s,0.6,thunniform,ostraciiform,0.0306486137728297,Insignificant
Speed_cm_s,1,anguilliform,subcarangiform,0.000648193674213153,Significant
Speed_cm_s,1,anguilliform,carangiform,0.187261191354228,Insignificant
Speed_cm_s,1,anguilliform,thunniform,0.432199331792773,Insignificant
Speed_cm_s,1,anguilliform,ostraciiform,1.00779286627861e-10,Significant
Speed_cm_s,1,subcarangiform,carangiform,0.00552884705645573,Insignificant
Speed_cm_s,1,subcarangiform,thunniform,0.322945016200564,Insignificant
Speed_cm_s,1,subcarangiform,ostraciiform,8.47809922786045e-11,Significant
Speed_cm_s,1,carangiform,thunniform,0.14746739219295,Insignificant
Speed_cm_s,1,carangiform,ostraciiform,2.48333883396672e-08,Significant
Speed_cm_s,1,thunniform,ostraciiform,2.94365858779126e-08,Significant
Speed_cm_s,1.5,anguilliform,subcarangiform,0.570189331341871,Insignificant
Speed_cm_s,1.5,anguilliform,carangiform,0.968105578656922,Insignificant
Speed_cm_s,1.5,anguilliform,thunniform,4.09201407983624e-09,Significant
Speed_cm_s,1.5,anguilliform,ostraciiform,4.1624401275766e-16,Significant
Speed_cm_s,1.5,subcarangiform,carangiform,0.592292389889342,Insignificant
Speed_cm_s,1.5,subcarangiform,thunniform,8.15679062372446e-09,Significant
Speed_cm_s,1.5,subcarangiform,ostraciiform,1.79426464775245e-15,Significant
Speed_cm_s,1.5,carangiform,thunniform,4.06888588608093e-09,Significant
Speed_cm_s,1.5,carangiform,ostraciiform,3.94026181308862e-16,Significant
