Mode,Frequency_Hz,Trial,Speed_cm_s,Speed_m_s,Power_W,Energy_J,COT,Reynolds_number,Strouhal_number
anguilliform,0.6,1,1.15640801294118,0.0115640801294118,1.54994803695708,53.3167015841995,13.394819538351,5901.57887053805,4.44912171346367
anguilliform,0.6,2,1.63180939465529,0.0163180939465529,1.551929320142,38.2271895976355,9.50458874201504,8327.72839384757,3.15294176933382
anguilliform,0.6,3,0.984550118667488,0.00984550118667488,1.54067691083969,62.9088457750166,15.6388410689352,5024.52431346936,5.22573701678423
anguilliform,0.6,4,1.14066952250645,0.0114066952250645,1.54344373012602,53.1961413601765,13.5226492644084,5821.25951822953,4.51050887087318
anguilliform,0.6,5,0.971719296599702,0.00971719296599702,1.54322995911993,62.5009135583385,15.8715974334576,4959.04387096162,5.29473894158909
anguilliform,0.6,6,1.31467567230041,0.0131467567230041,1.53504526121842,47.0212749347926,11.668993008579,6709.27741976233,3.91351274569287
subcarangiform,0.6,1,0.910711556761936,0.00910711556761936,1.55111766315031,67.3437164743652,17.0213780045899,4647.69875372215,5.10721530375379
subcarangiform,0.6,2,1.10135883510466,0.0110135883510466,1.54418869051867,54.2258182119123,14.0120716115401,5620.64250454533,4.22314676356868
subcarangiform,0.6,3,1.2420637107475,0.012420637107475,1.54607374244391,49.499125273483,12.4399075288675,6338.71165642152,3.74473544291927
subcarangiform,0.6,4,0.765861399037447,0.00765861399037447,1.54034851402361,80.1026803836198,20.1001655341652,3908.47469036863,6.07316154835032
subcarangiform,0.6,5,1.15611676334202,0.0115611676334202,1.53509732775115,55.7735526544177,13.2698201927193,5900.0925158421,4.0231230507848
subcarangiform,0.6,6,0.898026472449192,0.00898026472449192,1.53900636838761,68.9459795792305,17.1270315837344,4582.96206501599,5.17935733822496
carangiform,0.6,1,1.32195361924746,0.0132195361924746,1.51767072709643,51.4145727898436,11.4734006715016,6746.41948159773,3.450347980133
carangiform,0.6,2,1.4493338020523,0.014493338020523,1.51884581998981,45.2851028302338,10.473120249556,7396.48778530512,3.14710109813295
carangiform,0.6,3,1.62470019763618,0.0162470019763618,1.50891639485079,41.3590665716196,9.2815982206936,8291.44752546463,2.80741025737316
carangiform,0.6,4,1.39417280423912,0.0139417280423912,1.51011960286656,43.2375476657213,10.8249415298753,7114.98076051021,3.27161739644556
carangiform,0.6,5,1.26261799960758,0.0126261799960758,1.51319910918548,47.7145530086041,11.9771895182954,6443.60781372768,3.61249404128375
carangiform,0.6,6,1.34200432603444,0.0134200432603444,1.50710825486495,45.011398898714,11.2233202047199,6848.74567286341,3.39879679335918
thunniform,0.6,1,1.12789351469932,0.0112789351469932,1.58674309737644,67.2019085618606,14.0594826156521,5756.05881321832,4.29242648965018
thunniform,0.6,2,1.29921063853831,0.0129921063853831,1.58504346061228,65.4204291701119,12.1924905445821,6630.3536182483,3.72641653046105
thunniform,0.6,3,1.23608074843436,0.0123608074843436,1.57742525157113,59.2416998045147,12.753599276572,6308.17838133581,3.91673440924648
thunniform,0.6,4,1.24924828491732,0.0124924828491732,1.58434818434201,50.0085867328914,12.6745540996968,6375.37720235332,3.87545058772719
thunniform,0.6,5,1.06131992338344,0.0106131992338344,1.5856871687958,63.1107774341892,14.9314510827202,5416.30909214334,4.56167823983352
thunniform,0.6,6,1.30310427763107,0.0130310427763107,1.58769042136487,55.2633201019655,12.1763598698192,6650.22430224754,3.71528210221307
ostraciiform,0.6,1,1.61691542926334,0.0161691542926334,1.92863424515204,47.1859893522801,11.9204702852382,8251.7189659709,2.69995568165797
ostraciiform,0.6,2,1.28085196282555,0.0128085196282555,1.8939202034774,63.9854876379436,14.7772479213577,6536.66248893666,3.40835641175076
ostraciiform,0.6,3,1.28226990481281,0.0128226990481281,1.89280073146751,55.6786362904243,14.7521821658282,6543.89877265146,3.40458743016143
ostraciiform,0.6,4,1.27077265315884,0.0127077265315884,1.89492169533376,54.414602197081,14.9023317989399,6485.22403443533,3.43539026367003
ostraciiform,0.6,5,1.6494788863931,0.016494788863931,1.87861293016214,45.5867422359762,11.3820730130241,8417.90236179492,2.64665406511884
ostraciiform,0.6,6,1.4080608505394,0.014080608505394,1.89454926554776,61.3564465013504,13.4466871377845,7185.85661028085,3.10043418814437
anguilliform,1,1,2.27591252335469,0.0227591252335469,1.6560643847912,29.0903951458983,7.2719765987746,11614.8254843562,3.75146228705443
anguilliform,1,2,2.4844986920413,0.024844986920413,1.65014535268407,26.1810203806312,6.63764847923225,12679.3180441029,3.43650814844464
anguilliform,1,3,2.39436140008314,0.0239436140008314,1.64600070747516,27.1028453713171,6.87022777476298,12219.3140215479,3.5658777324524
anguilliform,1,4,2.4607586176562,0.024607586176562,1.64709473516733,26.7916391396186,6.68929555857972,12558.1636420162,3.46966172900461
anguilliform,1,5,2.45961714938934,0.0245961714938934,1.64972445717152,26.888856377323,6.70308491782368,12552.3383062094,3.47127194251339
anguilliform,1,6,2.35292184272402,0.0235292184272402,1.64576080703932,28.2510485238993,6.99020697463233,12007.8325951152,3.62867981628977
subcarangiform,1,1,2.22907629689051,0.0222907629689051,1.6637968323442,30.2404047254257,7.45943922958074,11375.8028544682,3.57188312087242
subcarangiform,1,2,1.95810034635116,0.0195810034635116,1.66248790253838,34.0810228144293,8.48504930709624,9992.91210463705,4.06618589023635
subcarangiform,1,3,2.27337523941492,0.0227337523941492,1.65463857976042,28.899747498534,7.2738248874194,11601.8767836209,3.50228148083864
subcarangiform,1,4,2.10083315039806,0.0210083315039806,1.65843448019754,36.7151706162309,7.88928377112188,10721.3305270876,3.78992496309922
subcarangiform,1,5,2.03453468149009,0.0203453468149009,1.65519758907841,32.2197891770247,8.13046844315962,10382.9848576719,3.91342554758942
