Metric,Mode,Frequency1_Hz,Frequency2_Hz,p_value,Result
Speed_cm_s,anguilliform,0.6,1,4.75428730145583e-07,Significant
Speed_cm_s,anguilliform,0.6,1.5,0.422143940741743,Insignificant
Speed_cm_s,anguilliform,0.6,2,0.000278771312615864,Significant
Speed_cm_s,anguilliform,1,1.5,2.1590023184099e-09,Significant
Speed_cm_s,anguilliform,1,2,2.29773032628711e-11,Significant
Speed_cm_s,anguilliform,1.5,2,3.98005354026865e-05,Significant
Speed_cm_s,subcarangiform,0.6,1,3.83161188293411e-07,Significant
Speed_cm_s,subcarangiform,0.6,1.5,0.189357842085198,Insignificant
Speed_cm_s,subcarangiform,0.6,2,0.187435096869843,Insignificant
Speed_cm_s,subcarangiform,1,1.5,1.04572150927054e-06,Significant
Speed_cm_s,subcarangiform,1,2,4.0656314435711e-08,Significant
Speed_cm_s,subcarangiform,1.5,2,0.0131245508611859,Insignificant
Speed_cm_s,carangiform,0.6,1,7.58684901695378e-06,Significant
Speed_cm_s,carangiform,0.6,1.5,0.00330112232235773,Significant
Speed_cm_s,carangiform,0.6,2,3.19599883989399e-06,Significant
Speed_cm_s,carangiform,1,1.5,1.14993836554313e-06,Significant
Speed_cm_s,carangiform,1,2,1.12482021225796e-07,Significant
Speed_cm_s,carangiform,1.5,2,0.000306428651845589,Significant
Speed_cm_s,thunniform,0.6,1,8.42882013550872e-05,Significant
Speed_cm_s,thunniform,0.6,1.5,3.97215704656651e-09,Significant
Speed_cm_s,thunniform,0.6,2,2.75743822598937e-05,Significant
Speed_cm_s,thunniform,1,1.5,7.92102071710345e-05,Significant
Speed_cm_s,thunniform,1,2,0.0128427480315825,Insignificant
Speed_cm_s,thunniform,1.5,2,9.2804644072451e-08,Significant
Speed_cm_s,ostraciiform,0.6,1,2.52334627723458e-11,Significant
Speed_cm_s,ostraciiform,0.6,1.5,2.88698938251638e-15,Significant
Speed_cm_s,ostraciiform,0.6,2,4.87219469372146e-12,Significant
Speed_cm_s,ostraciiform,1,1.5,6.85099637869317e-11,Significant
Speed_cm_s,ostraciiform,1,2,3.81018115227911e-08,Significant
Speed_cm_s,ostraciiform,1.5,2,0.153535627199797,Insignificant
Power_W,anguilliform,0.6,1,7.78864859823659e-12,Significant
Power_W,anguilliform,0.6,1.5,2.34522879279536e-09,Significant
Power_W,anguilliform,0.6,2,5.34623040761428e-05,Significant
Power_W,anguilliform,1,1.5,1.19235626521922e-09,Significant
Power_W,anguilliform,1,2,1.33085383522685e-14,Significant
Power_W,anguilliform,1.5,2,1.22256021781764e-12,Significant
Power_W,subcarangiform,0.6,1,6.73063377380869e-12,Significant
Power_W,subcarangiform,0.6,1.5,2.14640987878189e-06,Significant
Power_W,subcarangiform,0.6,2,1.81785997860123e-11,Significant
